n,basecase_ns,toom22_ns,toom33_ns
404,4539.09,2775.88,2717.29
405,4563.83,2792.57,2809.30
406,4590.10,2786.43,2740.73
407,4606.45,2818.23,2785.98
408,4652.68,2811.43,2934.29
409,4653.72,2803.28,2820.83
410,4684.81,2809.87,2817.82
411,4687.10,2823.58,2915.90
412,4719.47,2813.22,2942.15
413,4744.56,2831.27,2924.82
414,4762.26,2854.19,2977.74
415,4783.75,2812.88,2948.55
416,4811.27,2856.55,2876.89
417,4811.19,2870.43,2964.30
418,4880.62,2870.51,2921.38
419,4875.07,2913.64,2989.99
420,4901.43,2924.42,2991.88
421,4914.10,2953.41,2934.91
422,4950.46,2956.92,2935.96
423,4969.26,2974.14,2951.42
424,5008.10,2978.75,2949.33
425,5017.47,2993.48,3068.43
426,5047.43,2989.06,3063.96
427,5056.65,2988.36,3021.90
428,5082.30,2984.59,2920.13
429,5117.02,3012.22,3034.72
430,5150.88,3029.67,3085.00
431,5162.29,3053.75,3112.26
432,5212.89,3043.61,3086.89
433,5192.56,3066.57,3170.83
434,5247.06,3055.46,3042.26
435,5255.49,3083.25,3047.68
436,5286.39,3082.02,3122.12
437,5293.75,3115.00,3159.61
438,5343.18,3099.33,3140.51
439,5351.27,3113.61,3234.56
440,5381.03,3141.15,3233.79
441,5410.75,3159.85,3238.50
442,5426.37,3133.89,3284.27
443,5445.71,3131.17,3293.97
444,5483.36,3131.23,3304.70
445,5515.96,3126.62,3328.13
446,5547.57,3076.76,3326.95
447,5569.92,3017.21,3335.58
448,5607.32,3112.30,3395.95
449,5618.92,3090.95,3300.54
450,5645.17,3146.60,3424.59
451,5652.87,3163.84,3265.75
452,5687.12,3158.27,3282.09
453,5700.28,3240.26,3277.81
454,5735.22,3272.04,3463.66
455,5761.45,3305.35,3371.37
456,5767.01,3336.68,3310.36
457,5812.01,3342.49,3381.35
458,5826.17,3355.93,3482.03
459,5841.38,3349.73,3381.24
460,5881.28,3335.52,3494.37
461,5896.43,3356.30,3501.09
462,5940.77,3361.28,3553.39
463,5950.29,3384.57,3517.76
464,5975.72,3430.26,3424.04
465,5996.62,3437.50,3526.54
466,6053.43,3437.49,3620.52
467,6052.85,3449.35,3612.27
468,6097.26,3443.80,3480.70
469,6110.51,3461.58,3507.66
470,6149.53,3479.29,3529.84
471,6162.90,3502.77,3531.41
472,6236.02,3481.83,3512.33
473,6230.13,3502.94,3535.39
474,6257.30,3512.33,3527.83
475,6274.02,3518.06,3497.28
476,6301.74,3499.39,3642.66
477,6332.24,3511.53,3515.35
478,6362.98,3556.14,3543.47
479,6395.48,3502.56,3681.76
480,6440.87,3590.34,3695.51
481,6442.86,3592.95,3628.01
482,6474.90,3565.23,3745.68
483,6483.11,3606.74,3619.88
484,6520.78,3598.66,3719.48
485,6540.37,3643.66,3780.46
486,6572.76,3669.13,3742.44
487,6597.76,3759.06,3728.72
488,6652.77,3804.17,3742.74
489,6654.79,3809.58,3832.49
490,6690.03,3824.11,3795.60
491,6706.81,3823.33,3845.65
492,6737.53,3793.15,3939.10
493,6758.95,3817.98,3807.50
494,6803.38,3809.70,3815.85
495,6833.32,3820.37,3915.12
496,6886.06,3813.05,3976.46
497,6903.13,3867.07,3843.84
498,6936.91,3848.54,3886.83
499,6941.60,3854.76,3955.48
500,6979.17,3853.17,3881.46
