an,bn,ratio,gmp_ns,simd_ns,speedup
122,24,0.2000,844.7,177.8,4.7498
122,31,0.2500,1051.2,223.6,4.7019
122,41,0.3333,1332.9,268.1,4.9715
122,49,0.4000,1407.0,315.7,4.4570
122,61,0.5000,1497.6,378.2,3.9601
122,79,0.6500,1784.1,567.2,3.1455
122,98,0.8000,2046.0,621.4,3.2926
122,122,1.0000,2421.7,671.6,3.6060
123,15,0.1250,535.4,131.9,4.0602
123,25,0.2000,887.2,183.9,4.8241
123,31,0.2500,1059.8,221.9,4.7768
123,41,0.3333,1258.3,269.4,4.6701
123,49,0.4000,1409.2,313.2,4.4998
123,62,0.5000,1510.7,383.6,3.9385
123,80,0.6500,1826.2,530.6,3.4414
