n,scalar_ns,simd1_ns,simd2_ns,scalar_ns_per_limb,simd1_ns_per_limb,simd2_ns_per_limb,simd1_speedup,simd2_speedup,simd2_over_simd1
992,395.676820,290.054205,1390.828125,0.398867762,0.292393352,1.402044481,1.364148,0.284490,0.208548
1000,396.900316,293.111621,1368.732337,0.396900316,0.293111621,1.368732337,1.354093,0.289977,0.214148
1008,399.734309,294.932488,1412.626866,0.396561814,0.292591754,1.401415541,1.355342,0.282972,0.208783
1016,405.681843,297.273734,1390.409926,0.399293152,0.292592258,1.368513707,1.364674,0.291771,0.213803
1024,408.057337,299.375299,1436.847064,0.398493493,0.292358690,1.403170961,1.363029,0.283995,0.208356
1032,410.670306,301.951568,1411.493470,0.397936343,0.292588728,1.367726231,1.360054,0.290947,0.213923
1040,414.138491,305.184862,1456.053365,0.398210088,0.293446983,1.400051313,1.357009,0.284425,0.209597
1048,416.052544,306.632251,1435.497633,0.396996703,0.292588026,1.369749649,1.356845,0.289832,0.213607
1056,417.955833,308.941406,1478.951172,0.395791509,0.292558150,1.400521943,1.352864,0.282603,0.208892
1064,422.839668,311.377483,1457.491346,0.397405703,0.292648011,1.369822694,1.357965,0.290115,0.213639
1072,425.788037,313.728261,1501.141865,0.397190333,0.292656960,1.400318904,1.357187,0.283643,0.208993
1080,428.366581,315.857849,1479.839844,0.396635723,0.292460972,1.370222078,1.356201,0.289468,0.213441
1088,432.830069,318.975659,1523.417843,0.397821755,0.293176157,1.400200223,1.356938,0.284118,0.209382
1096,436.142878,320.856655,1502.426091,0.397940582,0.292752423,1.370826726,1.359308,0.290292,0.213559
1104,439.833820,323.433405,1545.677254,0.398400199,0.292965041,1.400069977,1.359890,0.284557,0.209250
1112,442.389888,325.228374,1526.915827,0.397832633,0.292471559,1.373125743,1.360244,0.289728,0.212997
1120,446.293246,328.039991,1567.589583,0.398476113,0.292892849,1.399633557,1.360484,0.284700,0.209264
1128,448.738337,329.862061,1549.078893,0.397817675,0.292430905,1.373296891,1.360382,0.289681,0.212941
1136,451.666617,332.191034,1589.895127,0.397593853,0.292421684,1.399555570,1.359659,0.284086,0.208939
1144,454.831220,334.618883,1567.313542,0.397579738,0.292499024,1.370029320,1.359252,0.290198,0.213498
1152,457.971494,336.788978,1612.114407,0.397544700,0.292351544,1.399404867,1.359817,0.284081,0.208911
1160,461.126225,338.878836,1593.565678,0.397522608,0.292136927,1.373763515,1.360741,0.289368,0.212654
1168,464.760520,342.107045,1636.008082,0.397911404,0.292899868,1.400691851,1.358524,0.284082,0.209111
1176,467.626244,344.211538,1624.025862,0.397641364,0.292696886,1.380974373,1.358543,0.287943,0.211950
1184,471.694724,346.829105,1656.700658,0.398390814,0.292929987,1.399240421,1.360021,0.284719,0.209349
1192,473.759785,348.701441,1634.634159,0.397449484,0.292534766,1.371337382,1.358640,0.289826,0.213321
1200,477.322652,351.249064,1682.015625,0.397768877,0.292707553,1.401679687,1.358929,0.283780,0.208826
1208,480.394133,353.136983,1656.595943,0.397677262,0.292331940,1.371354257,1.360362,0.289989,0.213170
1216,483.415432,355.512784,1704.814205,0.397545585,0.292362487,1.401985366,1.359769,0.283559,0.208535
1224,486.464216,357.783032,1680.944196,0.397438085,0.292306399,1.373320422,1.359663,0.289399,0.212846
1232,489.873372,360.682933,1724.103409,0.397624491,0.292762121,1.399434585,1.358183,0.284132,0.209200
1240,492.827716,362.751207,1702.483817,0.397441706,0.292541296,1.372970820,1.358583,0.289476,0.213072
1248,496.491733,365.737111,1748.646412,0.397829914,0.293058582,1.401158984,1.357510,0.283929,0.209154
1256,499.165891,367.420898,1726.893182,0.397425072,0.292532562,1.374914954,1.358567,0.289054,0.212764
1264,502.333222,370.043430,1770.679245,0.397415524,0.292755878,1.400853833,1.357498,0.283695,0.208984
1272,506.114247,372.182912,1752.732060,0.397888559,0.292596629,1.377934010,1.359854,0.288757,0.212344
1280,508.893919,374.717629,1793.119693,0.397573374,0.292748148,1.400874760,1.358073,0.283804,0.208975
1288,511.095788,376.621737,1770.219340,0.396813500,0.292408181,1.374393897,1.357053,0.288719,0.212754
1296,514.769809,379.338710,1815.120793,0.397198926,0.292699622,1.400556168,1.357019,0.283601,0.208988
1304,517.575893,381.135925,1792.270637,0.396914028,0.292282151,1.374440672,1.357982,0.288782,0.212655
1312,521.307812,384.037372,1838.335172,0.397338272,0.292711412,1.401170100,1.357440,0.283576,0.208905
1320,525.738827,388.488120,1817.092548,0.398286990,0.294309182,1.376585264,1.353294,0.289330,0.213797
1328,528.469452,389.572355,1860.717525,0.397943865,0.293352677,1.401142714,1.356537,0.284014,0.209367
1336,531.412959,390.244035,1835.775841,0.397764191,0.292098829,1.374083714,1.361745,0.289476,0.212577
1344,533.395241,392.722542,1879.807500,0.396871459,0.292204272,1.398666295,1.358199,0.283750,0.208916
1352,537.212857,394.785058,1858.462623,0.397346788,0.292000782,1.374602531,1.360773,0.289063,0.212426
1360,539.224677,397.206224,1904.194375,0.396488733,0.292063400,1.400142923,1.357543,0.283177,0.208595
1368,543.268244,399.863431,1883.563750,0.397125910,0.292297830,1.376874086,1.358634,0.288426,0.212291
1376,546.871730,402.554050,1925.269133,0.397435850,0.292553816,1.399178149,1.358505,0.284049,0.209090
1384,549.342471,404.546336,1904.244375,0.396923751,0.292302266,1.375899115,1.357922,0.288483,0.212445
1392,553.088603,406.880817,1954.649740,0.397333766,0.292299438,1.404202399,1.359338,0.282960,0.208160
1400,556.311575,409.417576,1926.786990,0.397365411,0.292441126,1.376276421,1.358788,0.288725,0.212487
1408,558.594308,411.361294,1972.331380,0.396728912,0.292160010,1.400803537,1.357917,0.283215,0.208566
1416,562.552957,413.905837,1950.606505,0.397283161,0.292306382,1.377546967,1.359133,0.288399,0.212193
1424,564.825489,415.694414,1992.701823,0.396647113,0.291920234,1.399369258,1.358752,0.283447,0.208608
1432,568.426705,418.144722,1971.915365,0.396946023,0.292000504,1.377035869,1.359402,0.288261,0.212050
1440,571.700076,420.426289,2014.967420,0.397013942,0.291962701,1.399282931,1.359810,0.283727,0.208652
1448,574.905107,423.468750,1995.672872,0.397033913,0.292450794,1.378227122,1.357609,0.288076,0.212193
1456,577.987347,425.179864,2037.228059,0.396969331,0.292019138,1.399195095,1.359395,0.283713,0.208705
1464,581.190586,428.626142,2018.445479,0.396988105,0.292777419,1.378719589,1.355938,0.287940,0.212355
1472,584.227873,430.252724,2060.599185,0.396893935,0.292291252,1.399863577,1.357871,0.283523,0.208800
1480,588.289453,433.276498,2041.088995,0.397492874,0.292754390,1.379114186,1.357769,0.288223,0.212277
1488,590.582351,434.738426,2082.642663,0.396896741,0.292162921,1.399625446,1.358477,0.283574,0.208744
1496,593.580301,437.334593,2062.235734,0.396778276,0.292335958,1.378499822,1.357268,0.287833,0.212068
1504,596.299842,439.753505,2107.347917,0.396475959,0.292389298,1.401162179,1.355987,0.282962,0.208676
1512,600.398487,442.263119,2083.765972,0.397088947,0.292502063,1.378152098,1.357559,0.288131,0.212242
1520,602.957131,444.701126,2127.812500,0.396682323,0.292566530,1.399876645,1.355870,0.283369,0.208995
1528,607.083065,446.830804,2105.105556,0.397305670,0.292428536,1.377686882,1.358642,0.288386,0.212261
1536,610.872971,449.121112,2149.198864,0.397703757,0.292396558,1.399218010,1.360152,0.284233,0.208971
1544,613.358252,451.722206,2131.656250,0.397252754,0.292566195,1.380606380,1.357822,0.287738,0.211911
1552,616.507761,453.674819,2171.086648,0.397234382,0.292316249,1.398896036,1.358920,0.283963,0.208962
1560,618.939556,456.218447,2151.989347,0.396756126,0.292447722,1.379480350,1.356674,0.287613,0.211998
1568,622.407492,457.855640,2196.417878,0.396943553,0.291999771,1.400776708,1.359397,0.283374,0.208456
1576,625.802500,460.969975,2174.127131,0.397082805,0.292493639,1.379522291,1.357578,0.287841,0.212025
1584,628.725417,462.989840,2219.710029,0.396922612,0.292291566,1.401332089,1.357968,0.283247,0.208581
1592,631.852349,465.289604,2196.978198,0.396892179,0.292267339,1.380011431,1.357977,0.287601,0.211786
1600,635.194679,467.442786,2240.961310,0.396996674,0.292151741,1.400600818,1.358871,0.283447,0.208590
1608,638.584609,469.739375,2218.619913,0.397129732,0.292126477,1.379738752,1.359444,0.287830,0.211726
1616,641.458759,472.665358,2267.158482,0.396942301,0.292490939,1.402944605,1.357110,0.282935,0.208484
1624,644.613014,474.648359,2246.861607,0.396929196,0.292271157,1.383535472,1.358085,0.286895,0.211249
1632,647.153448,477.287754,2286.629464,0.396540103,0.292455731,1.401120995,1.355898,0.283016,0.208730
1640,650.222414,479.488520,2267.024554,0.396477082,0.292371049,1.382332045,1.356075,0.286818,0.211506
1648,653.546441,481.259936,2306.312500,0.396569442,0.292026660,1.399461468,1.357991,0.283373,0.208671
1656,657.034965,484.254510,2285.863095,0.396760245,0.292424221,1.380352111,1.356797,0.287434,0.211848
1664,659.810315,486.472150,2329.909299,0.396520622,0.292351052,1.400185877,1.356317,0.283191,0.208794
1672,663.437940,489.040202,2306.837652,0.396793026,0.292488159,1.379687591,1.356612,0.287596,0.211996
1680,666.281472,490.568359,2351.134375,0.396596114,0.292004976,1.399484747,1.358183,0.283387,0.208652
1688,668.444592,493.061518,2329.291921,0.395997981,0.292098056,1.379912275,1.355702,0.286973,0.211679
1696,671.647768,495.418092,2374.992969,0.396018731,0.292109724,1.400349628,1.355719,0.282800,0.208598
1704,675.081610,497.930225,2350.306250,0.396174654,0.292212573,1.379287705,1.355776,0.287231,0.211858
1712,679.400589,500.547207,2399.906250,0.396846138,0.292375705,1.401814398,1.357316,0.283095,0.208569
1720,681.189312,502.550468,2375.914844,0.396040297,0.292180505,1.381345839,1.355464,0.286706,0.211519
1728,685.372263,505.067540,2418.551282,0.396627467,0.292284456,1.399624585,1.356991,0.283381,0.208831
1736,689.250000,507.924493,2397.468750,0.397033410,0.292583233,1.381030386,1.356993,0.287491,0.211859
1744,693.024357,510.141474,2444.207532,0.397376351,0.292512313,1.401495145,1.358494,0.283537,0.208714
1752,695.525926,512.231997,2418.839744,0.396989684,0.292369861,1.380616292,1.357834,0.287545,0.211768
1760,697.988889,514.096995,2466.642628,0.396584596,0.292100565,1.401501493,1.357699,0.282971,0.208420
1768,700.793377,517.380151,2442.965545,0.396376344,0.292635832,1.381767842,1.354504,0.286862,0.211784
1776,704.114272,519.580801,2493.421875,0.396460739,0.292556757,1.403953758,1.355158,0.282389,0.208381
1784,707.300752,521.161806,2464.423077,0.396469031,0.292131057,1.381403070,1.357162,0.287005,0.211474
1792,711.117898,523.672222,2507.961349,0.396829184,0.292227803,1.399532003,1.357945,0.283544,0.208804
1800,713.530303,526.110684,2487.657895,0.396405724,0.292283714,1.382032164,1.356236,0.286828,0.211488
1808,716.656011,528.516854,2531.422697,0.396380537,0.292321269,1.400123173,1.355976,0.283104,0.208783
1816,720.324905,530.904308,2513.782895,0.396654683,0.292348187,1.384241682,1.356789,0.286550,0.211197
1824,722.668750,532.812855,2552.704392,0.396199973,0.292112311,1.399508987,1.356328,0.283099,0.208725
