n,midmul_ns,mul_ns
393,4478.128,4214.075
394,4507.053,4232.363
395,4512.507,4250.083
396,4527.412,4274.519
397,4536.700,4283.246
398,4543.085,4330.238
399,4551.403,4345.054
400,4665.047,4368.775
401,4668.914,4388.609
402,4677.567,4417.811
403,4690.008,4438.992
404,4701.198,4455.651
405,4713.208,4461.696
406,4725.128,4502.176
407,4718.960,4521.871
408,4830.815,4541.952
409,4838.049,4575.220
410,4863.451,4593.377
411,4858.369,4612.885
412,4875.463,4640.430
413,4878.603,4650.430
414,4904.925,4684.592
415,4910.592,4692.259
416,5016.983,4739.345
417,5029.840,4737.328
418,5049.669,4766.712
419,5051.034,4785.829
420,5069.838,4825.829
421,5076.733,4835.448
422,5087.164,4859.845
423,5104.357,4882.713
424,5204.791,4921.061
425,5224.044,4932.561
426,5238.070,4960.632
427,5250.717,4960.460
428,5263.991,4993.106
429,5270.277,5015.464
430,5282.330,5036.089
431,5291.721,5071.640
432,5402.712,5126.234
433,5420.282,5133.100
434,5425.464,5140.555
435,5445.872,5156.257
436,5449.826,5182.037
437,5476.120,5223.444
438,5481.120,5237.704
439,5493.000,5264.878
440,5619.252,5313.944
441,5615.670,5298.981
442,5637.934,5331.906
443,5645.057,5358.114
444,5662.581,5390.200
445,5673.183,5403.087
446,5700.779,5428.865
447,5710.481,5448.962
448,5803.020,5496.913
449,5814.087,5489.330
450,5827.657,5539.823
451,5846.186,5559.814
452,5863.871,5557.544
453,5861.792,5574.574
454,5892.287,5625.069
455,5898.010,5646.410
456,6015.610,5691.510
457,6025.768,5691.838
458,6035.960,5715.273
459,6056.337,5723.276
460,6060.725,5771.245
461,6091.031,5784.806
462,6106.196,5823.516
463,6121.144,5853.320
464,6233.334,5885.437
465,6237.719,5907.729
466,6263.448,5948.979
467,6273.789,5939.274
468,6301.274,5987.695
469,6310.862,6006.617
470,6312.990,6052.894
471,6320.755,6041.617
472,6450.011,6100.989
473,6463.656,6106.140
474,6485.914,6126.043
475,6498.152,6141.217
476,6512.391,6184.369
477,6512.099,6205.297
478,6523.747,6244.187
479,6532.637,6277.593
480,6677.456,6329.455
481,6680.011,6323.011
482,6691.011,6362.567
483,6699.326,6360.573
484,6716.753,6405.404
485,6735.966,6411.933
486,6749.091,6458.205
487,6746.818,6477.864
488,6886.103,6516.115
489,6890.230,6524.851
490,6934.943,6549.793
491,6933.267,6577.814
492,6943.151,6618.500
493,6957.570,6647.000
494,6956.482,6656.141
495,6994.600,6689.777
496,7113.424,6736.365
497,7128.095,6740.262
498,7130.131,6758.595
499,7150.833,6788.345
500,7171.548,6825.726
501,7179.771,6829.422
502,7203.373,6885.566
503,7222.542,6908.927
504,7345.975,6952.098
505,7342.805,6959.049
506,7343.793,6994.037
507,7386.432,7011.136
508,7402.481,7058.778
509,7412.728,7067.185
510,7433.763,7116.650
511,7442.138,7125.900
512,7564.125,7159.275
