n,nt,p30,p50,ntsqr
19483,18.0696,22.2795,18.0539,14.3794
20346,18.1545,22.2318,18.1193,14.4711
21247,18.0086,22.5482,17.9832,14.3461
22188,17.8551,22.0848,17.8457,14.2432
23170,22.0572,21.7771,22.1062,17.3735
24196,21.7902,21.6077,21.7772,17.1268
25267,21.4706,21.8086,21.4411,16.8934
26386,21.2628,21.4774,21.3120,16.7973
27554,21.0079,21.3560,21.0290,16.5964
28774,20.7978,21.6676,20.8340,16.4481
30048,20.5396,21.3690,20.5537,16.2368
31378,20.4503,21.1035,20.4742,16.1973
32768,20.1935,22.2760,20.2083,16.0258
34218,20.1330,25.2264,20.2453,15.9641
35733,19.9191,24.8394,19.9396,15.7640
37315,19.7297,24.7527,19.8442,15.7018
38967,19.5483,24.4757,19.6101,15.5067
40693,19.3848,24.1450,19.4465,15.4175
42494,19.3014,24.0398,19.3308,15.3523
44376,19.0797,23.6990,19.1401,15.1881
46340,22.1724,23.5407,22.1863,17.1054
48392,21.9454,23.2152,21.9536,16.9522
50535,21.5539,23.4481,21.6182,16.7332
52772,21.3443,23.0755,21.3577,16.5944
55108,21.1156,22.9880,21.1435,16.4051
57548,21.0587,22.8882,21.0027,16.3266
60096,20.7986,22.6226,20.8041,16.2036
62757,20.7734,22.4990,20.7772,16.0941
65536,20.5427,21.9339,20.4304,15.9334
68437,21.0633,25.3045,21.1441,16.4159
71467,20.8142,25.0716,20.8403,16.2980
74631,20.6536,24.7736,20.7623,16.1295
77935,20.4451,24.5608,20.4105,15.9836
81386,20.2490,24.2454,20.3338,15.8997
84989,20.1498,24.1781,20.2676,15.7751
88752,20.0228,23.8228,20.0832,15.6342
92681,23.5970,23.6353,26.6950,18.6378
96785,23.4232,23.4460,26.3045,18.5158
101070,24.1177,24.0783,26.1164,19.0382
105545,23.8732,23.8903,26.1615,18.9029
110217,23.6976,23.6175,25.9587,18.6888
115097,23.6091,23.5984,26.0239,18.7174
120193,23.4245,23.4033,25.9457,18.5278
125514,23.3814,23.3325,26.0459,18.4486
131072,23.1383,23.2083,25.9295,18.0950
136875,25.9681,28.8384,25.7144,17.8400
142935,25.8659,28.2089,25.2803,17.5886
149263,25.3335,27.8211,25.2988,17.6923
155871,25.0143,27.6797,25.0254,17.6548
162772,25.2463,27.1757,25.2530,17.8450
169979,24.9157,27.5096,24.9052,17.8173
177504,24.7902,27.3694,24.9326,17.7302
185363,27.0540,27.1143,35.9377,19.9525
193570,27.0180,27.0044,35.1076,19.5951
202140,26.9113,26.7982,34.7040,19.5571
211090,26.7257,26.5945,34.0295,19.4268
220435,26.2565,26.4232,33.5569,19.3555
230195,26.4378,26.3259,32.9979,19.4035
240387,26.1986,26.7043,32.9734,19.3597
251029,26.3399,25.9026,32.2237,19.0943
262144,26.8601,26.7404,32.0190,20.0299
273750,31.3963,32.8985,31.5897,22.2775
285870,31.4599,32.3052,31.2787,22.3887
298526,31.0998,31.9765,30.5226,21.7968
311743,30.3654,31.6214,30.5699,21.9567
325545,30.3043,31.0350,30.3028,21.6859
339958,30.3872,31.0304,30.4387,22.0085
355009,29.9464,30.5523,29.7602,21.2028
370727,30.1504,30.2481,37.6975,21.7271
387141,29.6849,29.8527,37.3208,21.5830
404281,31.9409,31.9247,36.5699,22.4176
422180,31.2296,31.3246,36.0042,22.1567
440871,31.2534,31.1746,35.3901,22.2436
460390,30.7647,30.8366,34.9907,22.1658
480774,30.4946,30.6370,34.9969,22.0896
502059,30.2841,30.3174,34.3039,21.8791
524288,29.3144,29.2467,33.6051,21.5951
547500,32.5747,32.4857,33.6100,23.8721
571740,32.3996,32.3821,33.8329,23.7308
597053,32.3685,32.1856,33.4565,24.0300
623487,32.0338,32.0832,32.8275,23.7184
651091,31.7431,31.5339,32.4786,23.3886
679917,31.9701,32.0689,31.7572,23.5403
710019,31.8819,31.9598,31.5554,23.5965
741455,32.0320,31.6783,41.3384,23.3246
774282,31.5758,31.7099,40.2761,23.0393
808562,32.3593,32.0511,39.4980,23.5477
844360,31.6315,31.5223,39.6108,23.2936
881743,31.2934,31.1598,38.9883,23.0808
920781,32.1047,32.0033,39.0754,23.1640
961548,31.3380,31.2934,38.5336,23.1099
1004119,31.2888,31.0872,37.7811,22.8462
1048576,31.1106,30.9307,37.2607,22.3872
1095000,34.7559,34.8661,37.9069,26.1673
1143480,34.5437,34.4135,36.7745,25.8091
1194106,34.2833,34.4603,36.3761,25.5851
1246974,33.9300,34.1361,35.7787,25.2417
1302182,33.7841,33.5318,35.6414,25.0900
1359834,33.9480,33.9734,35.4402,25.6326
1420039,33.6336,33.8055,34.9783,25.4605
1482910,33.4588,33.5915,49.8760,25.2855
1548564,33.3570,33.4747,48.4597,24.9832
1617125,33.7797,33.5830,47.0988,25.1889
1688721,33.3627,33.3515,46.1644,24.6676
1763487,32.8119,32.8226,44.5923,24.2980
1841563,33.1275,33.0565,44.1226,24.6299
1923096,32.8165,32.8748,43.2082,24.3992
2008239,33.0480,32.5889,42.6561,24.1002
