n,pos_simd_ns,neg_scalar_ns,pos_simd_ns_per_limb,neg_scalar_ns_per_limb,neg_over_pos
1104,135.671198,441.141725,0.122890578,0.399584896,3.251550
1112,136.541667,444.326570,0.122789269,0.399574254,3.254146
1120,137.550953,447.513690,0.122813351,0.399565795,3.253439
1128,137.794236,450.776316,0.122158011,0.399624393,3.271373
1136,138.896852,454.656099,0.122268356,0.400225439,3.273336
1144,140.695840,457.218143,0.122985874,0.399666209,3.249692
1152,141.228445,460.295956,0.122594136,0.399562462,3.259230
1160,142.395770,463.734914,0.122754974,0.399771477,3.256662
1168,142.836425,467.050995,0.122291460,0.399872427,3.269831
1176,143.747224,470.126875,0.122234034,0.399767751,3.270511
1184,144.922865,474.010732,0.122401069,0.400346902,3.270779
1192,145.606658,477.124365,0.122153236,0.400272119,3.276803
1200,146.272036,479.970026,0.121893363,0.399975021,3.281352
1208,147.962441,482.418590,0.122485464,0.399353137,3.260412
1216,148.666898,484.829575,0.122258962,0.398708532,3.261180
1224,149.704545,488.843099,0.122307635,0.399381617,3.265386
1232,150.679274,493.840789,0.122304605,0.400844797,3.277430
1240,151.697900,523.251381,0.122337016,0.421976920,3.449299
1248,152.974765,497.961640,0.122575934,0.399007725,3.255188
1256,153.068515,505.388441,0.121869837,0.402379332,3.301714
1264,153.809529,505.569892,0.121684754,0.399976181,3.286987
1272,155.125671,507.703041,0.121954144,0.399137610,3.272850
1280,155.846761,510.890285,0.121755282,0.399133035,3.278158
1288,157.672899,514.228484,0.122416847,0.399245717,3.261363
1296,157.594118,518.726174,0.121600399,0.400251677,3.291533
1304,158.806155,520.340470,0.121783861,0.399034102,3.276576
1312,159.837734,523.512500,0.121827541,0.399018674,3.275275
1320,160.832011,526.472067,0.121842433,0.398842475,3.273428
1328,161.478163,530.349929,0.121595002,0.399359887,3.284345
1336,162.065091,534.080611,0.121306206,0.399760936,3.295470
1344,163.121359,535.632457,0.121370059,0.398536055,3.283644
1352,164.679934,539.799210,0.121804685,0.399259771,3.277869
1360,165.123955,542.298049,0.121414673,0.398748566,3.284188
1368,166.072013,545.587209,0.121397671,0.398821059,3.285245
1376,167.206049,549.432018,0.121516024,0.399296524,3.285958
1384,167.443192,552.110662,0.120984965,0.398923889,3.297301
1392,169.396548,557.707470,0.121692922,0.400651918,3.292319
1400,169.938972,558.534598,0.121384980,0.398953284,3.286678
1408,170.806125,561.237351,0.121311168,0.398606073,3.285815
1416,171.616888,564.534431,0.121198367,0.398682508,3.289504
1424,173.074435,569.278788,0.121541036,0.399774430,3.289214
1432,173.364834,571.159470,0.121064828,0.398854378,3.294552
1440,174.821462,573.565549,0.121403793,0.398309409,3.280865
1448,175.154035,576.815951,0.120962731,0.398353557,3.293192
1456,176.607933,580.660108,0.121296657,0.398805019,3.287848
1464,177.298145,583.536879,0.121105290,0.398590764,3.291275
1472,179.426565,586.986719,0.121893047,0.398768151,3.271459
1480,180.084753,590.271816,0.121678887,0.398832308,3.277745
1488,181.006455,592.930818,0.121644123,0.398475012,3.275744
1496,181.058277,595.860759,0.121028260,0.398302647,3.290989
1504,182.259223,599.389331,0.121182994,0.398530140,3.288664
1512,183.735445,602.786859,0.121518152,0.398668558,3.280733
1520,184.298993,605.603226,0.121249338,0.398423175,3.285982
1528,184.413188,609.971997,0.120689259,0.399196333,3.307638
1536,185.722896,612.532873,0.120913344,0.398784423,3.298101
1544,187.347929,614.832925,0.121339332,0.398207853,3.281771
1552,187.641375,618.082237,0.120902948,0.398248864,3.293955
1560,188.455823,621.637417,0.120805015,0.398485524,3.298584
1568,189.900810,625.062917,0.121110210,0.398637064,3.291523
1576,190.769944,627.792083,0.121046919,0.398345231,3.290833
1584,192.151127,632.787542,0.121307530,0.399487085,3.293176
1592,192.768352,635.017314,0.121085648,0.398880222,3.294199
1600,193.643235,637.938563,0.121027022,0.398711602,3.294402
1608,194.557962,641.443878,0.120993757,0.398907884,3.296929
1616,195.391406,644.313356,0.120910524,0.398708760,3.297552
1624,196.069415,647.603879,0.120732399,0.398770862,3.302932
1632,197.280200,649.957328,0.120882475,0.398258166,3.294590
1640,197.623224,655.169488,0.120501966,0.399493590,3.315245
1648,199.599202,657.052448,0.121116021,0.398696874,3.291859
1656,200.387487,660.057255,0.121006936,0.398585299,3.293905
1664,201.289029,664.562500,0.120966965,0.399376502,3.301534
1672,202.513701,667.857270,0.121120635,0.399436166,3.297837
1680,203.165111,670.112277,0.120931614,0.398876355,3.298363
1688,203.735900,672.743750,0.120696623,0.398544876,3.302038
1696,205.019924,679.454937,0.120884389,0.400622015,3.314092
1704,205.812911,678.747977,0.120782225,0.398326277,3.297888
1712,207.311189,684.505474,0.121092984,0.399827964,3.301826
1720,208.144540,686.526460,0.121014267,0.399143291,3.298316
1728,209.560686,691.335478,0.121273545,0.400078402,3.298975
1736,209.661203,692.089154,0.120772582,0.398668868,3.300988
1744,210.977669,694.741204,0.120973434,0.398360782,3.292961
1752,212.016225,698.037500,0.121013827,0.398423231,3.292378
1760,212.546097,700.972948,0.120764828,0.398280084,3.297981
1768,213.701737,706.048402,0.120872023,0.399348644,3.303896
1776,214.836384,707.754229,0.120966433,0.398510264,3.294387
1784,215.313360,710.391098,0.120691345,0.398201288,3.299336
1792,216.569861,714.500710,0.120853717,0.398716914,3.299170
1800,217.826494,716.562977,0.121014719,0.398090543,3.289604
1808,218.377326,720.522662,0.120783919,0.398519172,3.299439
1816,218.972319,724.940385,0.120579471,0.399196247,3.310649
1824,220.256162,725.307933,0.120754475,0.397646893,3.293020
1832,220.960515,728.985465,0.120611635,0.397917830,3.299166
1840,222.334345,733.623535,0.120833883,0.398708443,3.299641
1848,222.311315,737.393066,0.120298331,0.399022222,3.316939
1856,223.425000,741.065945,0.120379849,0.399281220,3.316844
1864,225.165767,742.817913,0.120797086,0.398507464,3.298982
1872,225.453951,746.339782,0.120434803,0.398685781,3.310387
1880,226.506793,749.281250,0.120482337,0.398553856,3.307986
1888,226.988376,751.488000,0.120226894,0.398033898,3.310689
1896,228.178246,756.555444,0.120347176,0.399027133,3.315634
1904,229.162500,758.518649,0.120358456,0.398381643,3.309960
1912,230.185509,762.034274,0.120389910,0.398553491,3.310522
1920,231.165486,764.126524,0.120398691,0.397982565,3.305539
1928,232.341662,766.504573,0.120509161,0.397564613,3.299041
1936,233.934928,770.743340,0.120834157,0.398111229,3.294691
1944,234.074345,773.476434,0.120408614,0.397878824,3.304405
1952,235.615735,776.909349,0.120704782,0.398006839,3.297358
1960,235.819881,780.591684,0.120316266,0.398261063,3.310118
1968,237.303662,783.529167,0.120581129,0.398134739,3.301800
1976,237.759652,786.156771,0.120323710,0.397852617,3.306519
1984,239.079358,790.076681,0.120503708,0.398224133,3.304663
1992,239.727519,794.338498,0.120345140,0.398764306,3.313506
2000,240.513061,797.047669,0.120256530,0.398523835,3.313948
2008,241.589171,800.519597,0.120313332,0.398665138,3.313557
2016,242.584948,802.981303,0.120329835,0.398304218,3.310104
2024,243.843506,808.306034,0.120476041,0.399360689,3.314856
2032,244.304362,810.008621,0.120228525,0.398626290,3.315572
2040,245.526260,812.009968,0.120356010,0.398044102,3.307222
2048,246.107448,815.709783,0.120169652,0.398295792,3.314446
2056,246.882648,819.546739,0.120079109,0.398612227,3.319580
2064,248.284722,821.489402,0.120292986,0.398008431,3.308659
2072,249.104194,825.620066,0.120224032,0.398465283,3.314356
2080,250.018583,828.706414,0.120201242,0.398416545,3.314579
2088,251.105615,831.698562,0.120261310,0.398323066,3.312146
2096,252.739471,835.475940,0.120581809,0.398604933,3.305680
2104,252.520329,839.135603,0.120019168,0.398828708,3.323042
2112,253.820270,841.136161,0.120180052,0.398265228,3.313905
2120,255.077531,844.526228,0.120319590,0.398361428,3.310861
2128,255.793852,848.553209,0.120203878,0.398756207,3.317332
2136,256.342384,852.038570,0.120010479,0.398894462,3.323830
2144,257.373459,855.577273,0.120043591,0.399056564,3.324264
2152,258.798382,858.264773,0.120259471,0.398821920,3.316345
2160,259.708391,861.580275,0.120235366,0.398879757,3.317491
2168,261.296309,863.610092,0.120524128,0.398344138,3.305099
2176,262.376309,866.416858,0.120577348,0.398169512,3.302192
2184,262.351781,870.318866,0.120124442,0.398497649,3.317374
2192,264.012728,872.859375,0.120443763,0.398202270,3.306126
2200,264.355898,876.755841,0.120161772,0.398525382,3.316574
2208,265.325035,879.603388,0.120165324,0.398371100,3.315192
2216,266.922230,885.003538,0.120452270,0.399369827,3.315586
2224,269.367120,890.250884,0.121118310,0.400292664,3.304972
2232,268.161786,889.661557,0.120144169,0.398593887,3.317630
2240,269.104764,891.418337,0.120136055,0.397954615,3.312533
2248,269.966056,896.925893,0.120091662,0.398988387,3.322365
2256,270.093570,899.208631,0.119722327,0.398585386,3.329249
2264,271.202312,901.827524,0.119789007,0.398333712,3.325294
2272,272.319928,903.696514,0.119859123,0.397753748,3.318510
2280,272.977108,907.497596,0.119726802,0.398025261,3.324446
2288,274.007106,911.156553,0.119758351,0.398232759,3.325303
2296,274.447368,914.481796,0.119532826,0.398293465,3.332084
2304,275.823805,917.078580,0.119715193,0.398037578,3.324871
2312,277.665680,920.607230,0.120097613,0.398186518,3.315524
2320,278.137204,923.502451,0.119886726,0.398061401,3.320313
2328,278.927300,926.746630,0.119814132,0.398087040,3.322538
2336,280.799214,932.349010,0.120205143,0.399122008,3.320341
2344,281.170659,933.540223,0.119953353,0.398268013,3.320191
2352,281.949324,936.114480,0.119876413,0.398007857,3.320152
2360,282.727974,938.931875,0.119799989,0.397852489,3.320973
2368,283.329116,946.415938,0.119649120,0.399668893,3.340341
2376,286.579840,952.708965,0.120614411,0.400971786,3.324410
2384,285.837652,953.182134,0.119898344,0.399824721,3.334698
2392,286.521723,952.481692,0.119783329,0.398194687,3.324291
2400,287.613305,957.816327,0.119838877,0.399090136,3.330223
2408,288.676154,961.253827,0.119882124,0.399191788,3.329869
2416,289.592207,963.852679,0.119864324,0.398945645,3.328310
2424,290.496517,967.082589,0.119841797,0.398961464,3.329068
2432,291.854911,968.782861,0.120006131,0.398348216,3.319399
2440,291.932453,970.638531,0.119644448,0.397802677,3.324874
2448,293.795117,977.084310,0.120014345,0.399135748,3.325734
2456,294.243045,978.027995,0.119805800,0.398219868,3.323878
2464,294.758229,981.592448,0.119625905,0.398373558,3.330161
2472,295.486733,983.561849,0.119533468,0.397881007,3.328616
2480,296.424685,989.602632,0.119526082,0.399033319,3.338462
2488,297.287579,990.507237,0.119488577,0.398113841,3.331815
2496,298.403968,992.868750,0.119552872,0.397783954,3.327264
2504,299.860423,996.543092,0.119752565,0.397980468,3.323357
2512,300.660256,999.841090,0.119689593,0.398025912,3.325485
2520,302.231913,1003.105718,0.119933299,0.398057825,3.318993
2528,302.275121,1005.535572,0.119570855,0.397759324,3.326558
2536,303.270363,1010.040995,0.119586105,0.398281149,3.330497
2544,304.121359,1013.192876,0.119544559,0.398267640,3.331541
2552,305.211343,1015.709677,0.119596921,0.398005359,3.327890
2560,306.055782,1018.770497,0.119553040,0.397957226,3.328709
2568,308.369057,1022.463315,0.120081409,0.398155497,3.315713
2576,307.467520,1025.492867,0.119358510,0.398095057,3.335288
2584,309.014391,1027.755095,0.119587613,0.397738040,3.325913
2592,313.880957,1031.127060,0.121096048,0.397811366,3.285090
2600,313.504375,1036.216003,0.120578606,0.398544616,3.305268
