n,scalar_ns,simd_ns,scalar_ns_per_limb,simd_ns_per_limb,speedup
1848,754.041250,554.969490,0.408030979,0.300308165,1.358708
1856,754.711250,557.648854,0.406633217,0.300457356,1.353381
1864,756.946825,556.914756,0.406087352,0.298774011,1.359179
1872,760.162550,559.238281,0.406069738,0.298738398,1.359282
1880,764.264228,561.877807,0.406523525,0.298871174,1.360197
1888,767.331047,564.889872,0.406425343,0.299200144,1.358373
1896,772.150359,558.987165,0.407252299,0.294824454,1.381338
1904,762.491108,549.052449,0.400468019,0.288367883,1.388740
1912,762.940803,551.006031,0.399027617,0.288183070,1.384632
1920,764.073933,554.234191,0.397955173,0.288663641,1.378612
1928,767.643293,555.638868,0.398155235,0.288194434,1.381551
1936,770.403432,558.544457,0.397935657,0.288504368,1.379305
1944,774.268699,561.237909,0.398286368,0.288702628,1.379573
1952,777.255940,563.376684,0.398184396,0.288615105,1.379638
1960,797.721133,585.989258,0.407000578,0.298974111,1.361324
1968,794.173845,585.971680,0.403543620,0.297749837,1.355311
1976,814.333244,582.095679,0.412111965,0.294582834,1.398968
1984,789.638918,581.316551,0.398003487,0.293002294,1.358363
1992,792.971376,584.694293,0.398078000,0.293521232,1.356215
2000,796.497617,586.462109,0.398248808,0.293231055,1.358140
2008,820.780978,594.892207,0.408755467,0.296261059,1.379714
2016,814.723599,590.916863,0.404128769,0.293113523,1.378745
2024,822.874178,595.762460,0.406558388,0.294349042,1.381212
2032,829.099507,616.275531,0.408021411,0.303285202,1.345339
2040,808.899515,607.942540,0.396519370,0.298011049,1.330553
2048,816.148098,609.929992,0.398509813,0.297817379,1.338101
2056,820.751359,576.636311,0.399198132,0.280465132,1.423343
2064,846.442849,619.201275,0.410098280,0.300000618,1.366991
2072,845.001408,615.039828,0.407819212,0.296833894,1.373897
2080,831.035675,621.050290,0.399536382,0.298581870,1.338113
2088,834.815819,623.645488,0.399816005,0.298680789,1.338606
2096,840.260882,632.761116,0.400887825,0.301889845,1.327927
2104,859.393466,631.683096,0.408456970,0.300229608,1.360482
2112,864.898222,625.434375,0.409516204,0.296133700,1.382876
2120,867.197534,617.466077,0.409055441,0.291257584,1.404446
2128,875.684317,640.783163,0.411505788,0.301119908,1.366584
2136,880.991238,622.447227,0.412449082,0.291407878,1.415367
2144,871.951678,641.189413,0.406693880,0.299062226,1.359897
2152,860.915998,643.509418,0.400053902,0.299028540,1.337845
2160,864.522649,645.617295,0.400241967,0.298896896,1.339064
2168,886.036262,648.690733,0.408688313,0.299211593,1.365884
2176,896.587798,657.501093,0.412034833,0.302160429,1.363629
2184,877.665012,650.354526,0.401861269,0.297781376,1.349518
2192,886.569870,662.034551,0.404457058,0.302023062,1.339160
2200,880.886390,645.529538,0.400402905,0.293422517,1.364595
2208,898.159226,651.500651,0.406775012,0.295063701,1.378601
2216,906.344651,652.843967,0.409000294,0.294604678,1.388302
2224,909.385517,657.560096,0.408896365,0.295665511,1.382969
2232,910.566141,660.683319,0.407959740,0.296005071,1.378219
2240,915.984527,662.067562,0.408921664,0.295565876,1.383521
2248,919.358150,685.325046,0.408967148,0.304859896,1.341492
2256,906.936599,661.075044,0.402010904,0.293029718,1.371912
2264,906.843450,664.409111,0.400549227,0.293466922,1.364887
2272,911.703883,677.085207,0.401278118,0.298012855,1.346513
2280,941.529688,681.029212,0.412951617,0.298697023,1.382510
2288,923.782169,593.478046,0.403750948,0.259387258,1.556557
2296,919.529718,674.114955,0.400492038,0.293604075,1.364055
2304,937.021658,679.374094,0.406693428,0.294867228,1.379243
2312,942.164062,681.783288,0.407510408,0.294888965,1.381911
2320,947.807765,699.828591,0.408537830,0.301650255,1.354343
