ratio,an,bn,ns_call
1.0000,1424,1424,14834.1
1.0000,1428,1428,14844.5
1.0000,1432,1432,14834.4
1.0000,1436,1436,14828.7
1.0000,1440,1440,14815.9
1.0000,1444,1444,14824.3
1.0000,1448,1448,14822.6
1.0000,1452,1452,14833.2
1.0000,1456,1456,14817.8
1.0000,1460,1460,14834.4
1.0000,1464,1464,14801.4
1.0000,1468,1468,14828.7
1.0000,1472,1472,14812.4
1.0000,1476,1476,14832.8
1.0000,1480,1480,14819.1
1.0000,1484,1484,14836.9
1.0000,1488,1488,14822.9
1.0000,1492,1492,14826.2
1.0000,1496,1496,14846.8
1.0000,1500,1500,14855.1
1.0000,1504,1504,14852.2
1.0000,1508,1508,14844.9
1.0000,1512,1512,14819.8
1.0000,1516,1516,14818.5
1.0000,1520,1520,14824.7
1.0000,1524,1524,14813.9
1.0000,1528,1528,14816.8
1.0000,1532,1532,14817.5
1.0000,1536,1536,14838.5
1.0000,1540,1540,17378.9
1.0000,1544,1544,17408.1
1.0000,1548,1548,17417.1
1.0000,1552,1552,17408.4
1.0000,1556,1556,17411.9
1.0000,1560,1560,17411.6
1.0000,1564,1564,17420.7
1.0000,1568,1568,17408.9
1.0000,1572,1572,17420.6
1.0000,1576,1576,17389.9
1.0000,1580,1580,17418.4
1.0000,1584,1584,17404.9
1.0000,1588,1588,17438.4
1.0000,1592,1592,17414.7
1.0000,1596,1596,17409.5
1.0000,1600,1600,17412.5
1.0000,1604,1604,17432.8
1.0000,1608,1608,17418.2
1.0000,1612,1612,17424.6
1.0000,1616,1616,17427.7
1.0000,1620,1620,17407.9
1.0000,1624,1624,17410.0
1.0000,1628,1628,17415.5
1.0000,1632,1632,17438.6
1.0000,1636,1636,17454.8
1.0000,1640,1640,17447.6
1.0000,1644,1644,17451.1
1.0000,1648,1648,17440.9
1.0000,1652,1652,17436.9
1.0000,1656,1656,17419.2
1.0000,1660,1660,17412.8
1.0000,1664,1664,17421.8
1.0000,1668,1668,17414.5
1.0000,1672,1672,17426.0
1.0000,1676,1676,17412.6
1.0000,1680,1680,17418.4
1.0000,1684,1684,17513.6
1.0000,1688,1688,16915.1
1.0000,1692,1692,16976.4
1.0000,1696,1696,16932.9
1.0000,1700,1700,16975.2
1.0000,1704,1704,17003.2
1.0000,1708,1708,17020.0
1.0000,1712,1712,16995.5
1.0000,1716,1716,17018.9
1.0000,1720,1720,17026.9
1.0000,1724,1724,17034.2
1.0000,1728,1728,17025.0
1.0000,1732,1732,17037.0
1.0000,1736,1736,17049.7
1.0000,1740,1740,17008.4
1.0000,1744,1744,17143.5
1.0000,1748,1748,17043.4
1.0000,1752,1752,17286.7
1.0000,1756,1756,17399.6
1.0000,1760,1760,17420.9
1.0000,1764,1764,17413.4
1.0000,1768,1768,17428.0
1.0000,1772,1772,17440.3
1.0000,1776,1776,17441.6
1.0000,1780,1780,17466.3
1.0000,1784,1784,17453.7
1.0000,1788,1788,17458.7
