n,current_add_ns,stream_add_ns,current_sub_ns,stream_sub_ns,current_add_ns_per_limb,stream_add_ns_per_limb,current_sub_ns_per_limb,stream_sub_ns_per_limb,reps
172,23.630176243,26.453516688,22.698107798,24.468709724,0.137384745599,0.153799515629,0.131965743013,0.142259940254,6976
173,23.718155620,26.572149344,22.627484875,24.490196078,0.137099165431,0.153596238983,0.130794710258,0.141561827043,6936
174,23.695185615,26.594171379,22.419915930,24.350094189,0.136179227672,0.152840065396,0.128850091551,0.139943070053,6896
175,23.700787402,26.583831027,22.647632921,24.484914735,0.135433070866,0.151907605868,0.129415045261,0.139913798488,6857
176,23.295161290,26.045854087,23.137056582,25.262162954,0.132358870968,0.147987807314,0.131460548759,0.143535016786,6818
177,23.728893473,28.021819254,22.881840979,25.914984529,0.134061545044,0.158315363017,0.129275937737,0.146412341973,6779
178,24.038683859,28.049829453,23.041209606,25.798991248,0.135048785727,0.157583311532,0.129444997785,0.144938153076,6741
179,23.986129754,27.915784767,23.086152929,25.799433765,0.134000724882,0.155954104842,0.128972921391,0.144130914891,6703
180,24.829882988,27.935662867,23.800269703,25.802428422,0.137943794379,0.155198127041,0.132223720574,0.143346824564,6666
181,24.606147356,27.613656919,23.444913338,25.426202322,0.135945565501,0.152561640436,0.129529907947,0.140476255921,6629
182,24.495526914,27.498256783,23.486134263,25.300833965,0.134590807222,0.151089322986,0.129044693751,0.139015571237,6593
183,24.379478579,27.348581885,23.339734797,25.290637389,0.133221194421,0.149445802649,0.127539534407,0.138200204314,6557
184,24.132965686,25.568188783,23.145003066,25.287969349,0.131157422208,0.138957547735,0.125788060139,0.137434616025,6521
185,24.355613738,28.433764633,23.511169311,26.400863398,0.131651966151,0.153696025045,0.127087401683,0.142707369719,6486
186,24.480402789,28.424965154,23.623547637,26.410753021,0.131615068756,0.152822393302,0.127008320632,0.141993295814,6451
187,24.856474988,28.316780822,23.616666667,26.348800997,0.132922326141,0.151426635411,0.126292335116,0.140902679126,6417
188,25.664892784,28.310641628,24.357545398,26.282894737,0.136515387151,0.150588519295,0.129561411689,0.139802631579,6382
189,25.727186910,28.295340050,24.357097891,26.303540519,0.136122682064,0.149710793917,0.128873533815,0.139172172060,6349
190,25.625731920,28.296583360,24.381962025,26.275431103,0.134872273261,0.148929386104,0.128326115923,0.138291742646,6315
191,25.692381104,28.302958015,24.357415659,26.263919822,0.134515084313,0.148183026258,0.127525736434,0.137507433622,6282
192,24.859382499,26.679673757,23.979539642,26.447410486,0.129475950515,0.138956634149,0.124893435635,0.137746929614,6250
193,25.222704615,29.617585597,24.067020251,27.331083253,0.130687588678,0.153458992731,0.124699586791,0.141611830326,6217
194,25.353112369,29.641125121,24.256381260,27.358274079,0.130686146230,0.152789304749,0.125032893093,0.141022031334,6185
195,25.866471735,29.624370431,24.596847579,27.450162338,0.132648572999,0.151919848362,0.126137679891,0.140770063270,6153
196,26.532745386,29.687877305,25.469637610,27.473246330,0.135371149930,0.151468761758,0.129947130664,0.140169624130,6122
197,26.503856885,29.641227638,25.319560584,27.494664259,0.134537344594,0.150463084458,0.128525688242,0.139566823648,6091
198,26.749009901,29.839294544,25.552879063,27.754660947,0.135096009601,0.150703507799,0.129054944762,0.140175055288,6060
199,26.893010931,30.048873426,25.630341173,27.763428382,0.135140758446,0.150999363950,0.128795684284,0.139514715487,6030
200,26.414516398,28.175804033,25.360000000,27.923742924,0.132072581988,0.140879020163,0.126800000000,0.139618714619,6000
201,26.741584324,31.277386935,25.814194844,28.974874372,0.133042708081,0.155608890222,0.128428830071,0.144153603840,5970
202,27.012619889,31.277114512,25.987052295,28.993097643,0.133725841034,0.154837200552,0.128648773739,0.143530186352,5940
203,27.519601217,31.290666216,26.144378698,28.955397871,0.135564538013,0.154141212886,0.128790042848,0.142637427937,5911
204,28.351681957,31.283092608,26.883191851,28.957873280,0.138978833123,0.153348493178,0.131780352209,0.141950359216,5882
205,28.336921237,31.303754266,26.930339764,28.955244277,0.138228884083,0.152701240323,0.131367511046,0.141245094036,5853
206,28.289022298,31.285493827,26.946682668,28.983713355,0.137325350963,0.151871329258,0.130809139163,0.140697637646,5825
207,28.313749139,31.282732448,26.941946598,28.843728463,0.136781396804,0.151124311342,0.130154331390,0.139341683397,5797
208,27.679840527,29.296828972,26.788015241,29.002424662,0.133076156380,0.140850139291,0.128788534811,0.139434733953,5769
209,28.005919220,32.719484590,26.911636806,30.079839972,0.133999613493,0.156552557847,0.128763812471,0.143922679293,5741
210,28.186384319,32.707044223,27.098951049,30.204299196,0.134220877711,0.155747829634,0.129042624043,0.143829996172,5714
211,28.492975061,32.738702303,27.260365425,30.215665613,0.135037796500,0.155159726557,0.129196044669,0.143202206696,5687
212,29.376235876,32.707243816,27.990292976,30.205970677,0.138567150357,0.154279451963,0.132029683847,0.142480993757,5660
213,29.381831086,32.730530424,28.029270889,30.206602769,0.137942868948,0.153664462084,0.131592821074,0.141815036474,5633
214,29.431883024,32.693884828,27.963808165,30.216028495,0.137532163665,0.152775162747,0.130672000773,0.141196394837,5607
