shape,an52,bn52,u52_ns,ref_core_ns,ref_full_ns,u52_ns_per_digit_product,ref_core_ns_per_digit_product,ref_full_ns_per_digit_product
an=1bn,190,190,1914.179209,2069.053668,2259.815476,0.053024355,0.057314506,0.062598767
an=1bn,192,192,1954.091146,2113.641667,2297.261433,0.053008115,0.057336200,0.062317205
an=1bn,194,194,1965.257812,2170.595170,2352.407031,0.052217500,0.057673376,0.062504172
an=1bn,196,196,1997.656901,2185.399709,2375.389062,0.052000648,0.056887748,0.061833326
an=1bn,198,198,2041.957201,2198.720203,2385.713281,0.052085430,0.056084078,0.060853823
an=1bn,200,200,2025.811170,2209.460029,2408.968750,0.050645279,0.055236501,0.060224219
an=2bn,8,4,7.783678,15.905863,28.865648,0.243239950,0.497058219,0.902051503
an=2bn,10,5,11.322958,24.545492,39.757485,0.226459164,0.490909849,0.795149693
an=2bn,12,6,14.709910,25.147867,43.150325,0.204304311,0.349275937,0.599310070
an=2bn,14,7,13.862838,25.515740,44.688558,0.141457533,0.260364692,0.456005689
an=2bn,16,8,15.205720,26.127064,44.336761,0.118794687,0.204117684,0.346380947
an=2bn,18,9,20.963154,42.078812,61.044332,0.129402185,0.259745755,0.376816863
an=2bn,20,10,21.652649,41.808989,63.373796,0.108263243,0.209044945,0.316868982
an=2bn,22,11,25.306107,47.427463,71.597638,0.104570688,0.195981251,0.295858010
an=2bn,24,12,27.816968,49.769639,73.235631,0.096586695,0.172811247,0.254290387
an=2bn,26,13,32.498494,61.773551,87.008146,0.096149392,0.182761984,0.257420550
an=2bn,28,14,36.315986,63.382475,86.519920,0.092642821,0.161689986,0.220714083
an=2bn,30,15,38.660580,62.226319,90.833283,0.085912400,0.138280709,0.201851740
an=2bn,32,16,41.667653,64.871067,94.739994,0.081382134,0.126701302,0.185039050
an=2bn,34,17,50.635664,80.035836,112.647997,0.087604955,0.138470305,0.194892728
an=2bn,36,18,54.100206,82.708967,116.161742,0.083487972,0.127637295,0.179261947
an=2bn,38,19,57.551796,90.027411,124.840671,0.079711628,0.124691705,0.172909516
an=2bn,40,20,60.420063,92.233100,129.116145,0.075525079,0.115291375,0.161395181
an=2bn,42,21,65.769920,104.924602,143.608920,0.074569071,0.118962133,0.162821905
an=2bn,44,22,72.752251,108.753838,148.618413,0.075157284,0.112349007,0.153531419
an=2bn,46,23,77.904225,107.870546,152.026590,0.073633483,0.101957038,0.143692429
an=2bn,48,24,81.906441,116.833904,159.565529,0.071099341,0.101418320,0.138511744
an=2bn,50,25,90.012086,137.933042,185.152737,0.072009669,0.110346434,0.148122189
an=2bn,52,26,94.132185,140.231456,189.755808,0.069624397,0.103721491,0.140351929
an=2bn,54,27,100.638513,148.357941,198.311575,0.069025043,0.101754418,0.136016169
an=2bn,56,28,105.476026,155.374379,202.419922,0.067267874,0.099090803,0.129094338
an=2bn,58,29,115.518165,167.260751,221.086139,0.068679052,0.099441588,0.131442413
an=2bn,60,30,122.728689,175.363026,224.896058,0.068182605,0.097423903,0.124942255
an=2bn,62,31,128.573502,175.986984,228.590557,0.066895682,0.091564508,0.118933692
an=2bn,64,32,135.074146,183.588246,240.088635,0.065954173,0.089642698,0.117230779
