ratio,an,bn,ns_call
1.0000,2112,2112,25020.3
1.0000,2116,2116,25009.5
1.0000,2120,2120,25001.5
1.0000,2124,2124,25021.8
1.0000,2128,2128,25025.4
1.0000,2132,2132,25023.1
1.0000,2136,2136,25014.4
1.0000,2140,2140,25025.7
1.0000,2144,2144,24966.2
1.0000,2148,2148,25012.5
1.0000,2152,2152,25032.8
1.0000,2156,2156,25000.4
1.0000,2160,2160,25045.4
1.0000,2164,2164,24991.1
1.0000,2168,2168,25008.5
1.0000,2172,2172,25027.9
1.0000,2176,2176,25026.2
1.0000,2180,2180,24988.9
1.0000,2184,2184,25037.4
1.0000,2188,2188,25038.8
1.0000,2192,2192,25007.6
1.0000,2196,2196,25004.3
1.0000,2200,2200,25046.1
1.0000,2204,2204,25005.6
1.0000,2208,2208,25069.7
1.0000,2212,2212,24998.9
1.0000,2216,2216,25025.0
1.0000,2220,2220,25076.7
1.0000,2224,2224,25016.1
1.0000,2228,2228,25073.0
1.0000,2232,2232,25029.8
1.0000,2236,2236,25039.4
1.0000,2240,2240,25024.4
1.0000,2244,2244,25021.3
1.0000,2248,2248,25077.0
1.0000,2252,2252,25081.7
1.0000,2256,2256,25011.2
1.0000,2260,2260,25015.7
1.0000,2264,2264,25044.0
1.0000,2268,2268,25002.0
1.0000,2272,2272,25009.0
1.0000,2276,2276,25035.1
1.0000,2280,2280,25019.1
1.0000,2284,2284,25013.0
1.0000,2288,2288,25031.4
1.0000,2292,2292,25010.6
1.0000,2296,2296,25038.2
1.0000,2300,2300,25019.2
1.0000,2304,2304,25015.7
1.0000,2308,2308,25007.2
1.0000,2312,2312,25018.4
1.0000,2316,2316,25061.7
1.0000,2320,2320,25032.6
1.0000,2324,2324,25008.1
1.0000,2328,2328,25004.4
1.0000,2332,2332,25060.5
1.0000,2336,2336,25043.5
1.0000,2340,2340,25006.5
1.0000,2344,2344,25010.4
1.0000,2348,2348,25040.2
1.0000,2352,2352,25025.7
1.0000,2356,2356,25030.0
1.0000,2360,2360,25045.0
1.0000,2364,2364,25062.5
1.0000,2368,2368,25020.7
1.0000,2372,2372,25013.6
1.0000,2376,2376,25050.6
1.0000,2380,2380,25064.1
1.0000,2384,2384,25015.2
1.0000,2388,2388,25039.9
1.0000,2392,2392,25071.8
1.0000,2396,2396,25022.7
1.0000,2400,2400,25051.8
1.0000,2404,2404,25024.0
1.0000,2408,2408,25052.8
1.0000,2412,2412,25066.1
1.0000,2416,2416,25097.2
1.0000,2420,2420,25047.6
1.0000,2424,2424,25035.3
1.0000,2428,2428,25053.5
1.0000,2432,2432,25035.3
1.0000,2436,2436,25043.4
1.0000,2440,2440,25043.4
1.0000,2444,2444,25063.8
1.0000,2448,2448,25030.7
1.0000,2452,2452,25161.1
1.0000,2456,2456,25045.7
1.0000,2460,2460,25030.0
1.0000,2464,2464,25054.0
1.0000,2468,2468,24995.1
1.0000,2472,2472,25018.1
1.0000,2476,2476,24996.9
1.0000,2480,2480,25035.6
1.0000,2484,2484,25059.3
1.0000,2488,2488,25105.4
1.0000,2492,2492,25050.3
1.0000,2496,2496,25077.7
1.0000,2500,2500,25067.6
1.0000,2504,2504,25033.6
1.0000,2508,2508,25071.1
1.0000,2512,2512,25107.9
1.0000,2516,2516,25139.2
1.0000,2520,2520,25115.1
1.0000,2524,2524,25118.5
1.0000,2528,2528,25128.8
1.0000,2532,2532,25108.8
1.0000,2536,2536,25079.1
1.0000,2540,2540,25093.0
1.0000,2544,2544,25082.6
1.0000,2548,2548,25074.0
1.0000,2552,2552,25133.5
1.0000,2556,2556,25124.6
1.0000,2560,2560,25078.6
1.0000,2564,2564,29961.1
1.0000,2568,2568,29864.1
1.0000,2572,2572,29872.8
1.0000,2576,2576,29930.7
1.0000,2580,2580,29924.0
1.0000,2584,2584,29880.3
1.0000,2588,2588,29857.5
1.0000,2592,2592,29895.7
1.0000,2596,2596,29841.9
1.0000,2600,2600,29795.2
1.0000,2604,2604,29804.0
1.0000,2608,2608,29761.3
1.0000,2612,2612,29773.5
1.0000,2616,2616,29888.0
1.0000,2620,2620,29838.1
1.0000,2624,2624,29829.2
1.0000,2628,2628,29855.7
1.0000,2632,2632,29835.0
1.0000,2636,2636,29834.7
1.0000,2640,2640,29839.6
1.0000,2644,2644,29884.8
1.0000,2648,2648,29849.7
1.0000,2652,2652,29846.1
1.0000,2656,2656,29874.4
1.0000,2660,2660,29800.1
1.0000,2664,2664,29849.6
1.0000,2668,2668,29848.1
1.0000,2672,2672,29795.8
1.0000,2676,2676,29827.3
1.0000,2680,2680,29898.1
1.0000,2684,2684,29860.9
1.0000,2688,2688,29859.9
1.0000,2692,2692,29849.5
1.0000,2696,2696,29904.2
1.0000,2700,2700,29957.6
1.0000,2704,2704,29906.9
1.0000,2708,2708,29897.3
1.0000,2712,2712,29925.7
1.0000,2716,2716,29889.2
1.0000,2720,2720,29906.6
1.0000,2724,2724,29817.7
1.0000,2728,2728,29780.8
1.0000,2732,2732,29813.1
1.0000,2736,2736,29802.6
1.0000,2740,2740,29839.5
1.0000,2744,2744,29873.0
1.0000,2748,2748,29816.0
1.0000,2752,2752,29909.7
1.0000,2756,2756,29834.2
1.0000,2760,2760,29821.9
1.0000,2764,2764,29845.1
1.0000,2768,2768,29856.6
1.0000,2772,2772,29826.0
1.0000,2776,2776,29820.7
1.0000,2780,2780,29833.5
1.0000,2784,2784,29801.8
1.0000,2788,2788,29787.8
1.0000,2792,2792,29829.9
1.0000,2796,2796,29900.4
1.0000,2800,2800,29850.3
1.0000,2804,2804,29837.0
1.0000,2808,2808,29871.3
1.0000,2812,2812,29793.1
1.0000,2816,2816,29870.6
1.0000,2820,2820,29828.1
1.0000,2824,2824,29866.2
1.0000,2828,2828,29889.8
1.0000,2832,2832,29912.0
1.0000,2836,2836,29946.4
1.0000,2840,2840,29896.2
1.0000,2844,2844,29914.5
1.0000,2848,2848,29913.3
1.0000,2852,2852,29872.1
1.0000,2856,2856,29898.6
1.0000,2860,2860,29877.6
1.0000,2864,2864,29872.9
1.0000,2868,2868,29913.8
1.0000,2872,2872,29895.8
1.0000,2876,2876,29913.2
1.0000,2880,2880,29896.8
1.0000,2884,2884,29923.8
1.0000,2888,2888,29907.5
1.0000,2892,2892,29917.9
1.0000,2896,2896,29902.3
1.0000,2900,2900,29880.1
1.0000,2904,2904,29937.4
1.0000,2908,2908,29871.8
1.0000,2912,2912,29874.1
1.0000,2916,2916,29931.5
1.0000,2920,2920,29919.3
1.0000,2924,2924,29927.7
1.0000,2928,2928,29910.1
1.0000,2932,2932,29922.4
1.0000,2936,2936,29948.9
1.0000,2940,2940,29999.9
1.0000,2944,2944,29939.0
1.0000,2948,2948,29895.1
1.0000,2952,2952,29967.9
1.0000,2956,2956,29960.2
1.0000,2960,2960,29923.2
1.0000,2964,2964,29931.0
1.0000,2968,2968,29899.9
1.0000,2972,2972,29915.8
1.0000,2976,2976,29983.3
1.0000,2980,2980,29972.3
1.0000,2984,2984,29950.8
1.0000,2988,2988,29981.6
1.0000,2992,2992,30008.9
1.0000,2996,2996,29936.3
1.0000,3000,3000,29924.4
1.0000,3004,3004,29947.1
1.0000,3008,3008,29962.5
1.0000,3012,3012,29977.0
1.0000,3016,3016,29990.7
1.0000,3020,3020,30009.8
1.0000,3024,3024,29996.5
1.0000,3028,3028,29939.2
1.0000,3032,3032,30098.7
1.0000,3036,3036,30022.7
1.0000,3040,3040,30038.7
1.0000,3044,3044,29998.7
1.0000,3048,3048,29940.1
1.0000,3052,3052,29926.2
1.0000,3056,3056,29999.3
1.0000,3060,3060,29958.7
1.0000,3064,3064,29918.1
1.0000,3068,3068,29947.4
1.0000,3072,3072,29948.1
1.0000,3076,3076,37169.4
1.0000,3080,3080,37170.8
1.0000,3084,3084,37155.4
1.0000,3088,3088,37216.3
1.0000,3092,3092,37214.0
1.0000,3096,3096,37141.4
1.0000,3100,3100,37187.0
1.0000,3104,3104,37151.3
1.0000,3108,3108,37140.4
1.0000,3112,3112,37154.4
1.0000,3116,3116,37229.1
1.0000,3120,3120,37169.1
1.0000,3124,3124,37179.1
1.0000,3128,3128,37159.8
1.0000,3132,3132,37173.0
1.0000,3136,3136,37167.2
1.0000,3140,3140,37199.7
1.0000,3144,3144,37214.1
1.0000,3148,3148,37294.3
1.0000,3152,3152,37200.0
1.0000,3156,3156,37230.5
1.0000,3160,3160,37302.9
1.0000,3164,3164,37276.0
1.0000,3168,3168,37245.4
1.0000,3172,3172,37245.2
1.0000,3176,3176,37300.7
1.0000,3180,3180,37256.0
1.0000,3184,3184,37208.0
1.0000,3188,3188,37264.2
1.0000,3192,3192,39467.2
1.0000,3196,3196,40812.7
1.0000,3200,3200,43155.3
1.0000,3204,3204,37185.5
1.0000,3208,3208,37227.9
1.0000,3212,3212,37312.6
1.0000,3216,3216,39792.4
1.0000,3220,3220,39321.9
1.0000,3224,3224,37189.3
1.0000,3228,3228,37137.7
1.0000,3232,3232,37109.8
1.0000,3236,3236,37002.7
1.0000,3240,3240,37036.1
1.0000,3244,3244,37059.3
1.0000,3248,3248,37067.7
1.0000,3252,3252,37075.0
1.0000,3256,3256,37039.1
1.0000,3260,3260,37316.6
1.0000,3264,3264,37117.2
1.0000,3268,3268,37064.6
1.0000,3272,3272,37098.2
1.0000,3276,3276,36997.7
1.0000,3280,3280,37054.4
1.0000,3284,3284,37013.6
1.0000,3288,3288,37056.0
1.0000,3292,3292,37160.6
1.0000,3296,3296,37006.2
1.0000,3300,3300,37061.9
1.0000,3304,3304,37104.2
1.0000,3308,3308,37094.5
1.0000,3312,3312,37075.7
1.0000,3316,3316,37165.4
1.0000,3320,3320,37120.1
1.0000,3324,3324,37001.1
1.0000,3328,3328,37098.7
1.0000,3332,3332,37153.7
1.0000,3336,3336,37350.6
1.0000,3340,3340,37265.3
1.0000,3344,3344,37333.1
1.0000,3348,3348,37350.8
1.0000,3352,3352,37307.3
1.0000,3356,3356,37235.2
1.0000,3360,3360,37282.5
1.0000,3364,3364,37316.1
1.0000,3368,3368,37282.7
1.0000,3372,3372,37355.8
1.0000,3376,3376,37339.1
1.0000,3380,3380,37251.5
1.0000,3384,3384,37277.3
1.0000,3388,3388,37296.2
1.0000,3392,3392,37284.4
1.0000,3396,3396,37249.8
1.0000,3400,3400,37353.6
1.0000,3404,3404,37252.2
1.0000,3408,3408,37385.9
1.0000,3412,3412,37335.6
1.0000,3416,3416,37273.1
1.0000,3420,3420,37280.8
1.0000,3424,3424,37245.9
1.0000,3428,3428,37275.1
1.0000,3432,3432,37383.9
1.0000,3436,3436,37311.5
1.0000,3440,3440,37304.6
1.0000,3444,3444,37378.3
1.0000,3448,3448,37401.8
1.0000,3452,3452,37311.9
1.0000,3456,3456,37202.8
1.0000,3460,3460,37236.2
1.0000,3464,3464,37337.6
1.0000,3468,3468,37212.8
1.0000,3472,3472,37349.8
1.0000,3476,3476,37221.1
1.0000,3480,3480,37268.1
1.0000,3484,3484,37232.6
1.0000,3488,3488,37236.6
1.0000,3492,3492,37242.4
1.0000,3496,3496,37263.6
1.0000,3500,3500,37254.2
1.0000,3504,3504,37192.6
1.0000,3508,3508,37264.5
1.0000,3512,3512,37240.9
1.0000,3516,3516,37237.6
1.0000,3520,3520,37287.2
1.0000,3524,3524,37442.8
1.0000,3528,3528,37361.4
1.0000,3532,3532,37402.1
1.0000,3536,3536,37272.7
1.0000,3540,3540,37276.7
1.0000,3544,3544,37342.0
1.0000,3548,3548,37316.9
1.0000,3552,3552,37309.0
1.0000,3556,3556,37352.5
1.0000,3560,3560,37340.9
1.0000,3564,3564,37415.8
1.0000,3568,3568,37304.9
1.0000,3572,3572,37339.9
1.0000,3576,3576,37323.6
1.0000,3580,3580,37358.1
1.0000,3584,3584,37517.9
1.0000,3588,3588,40865.5
1.0000,3592,3592,40701.2
1.0000,3596,3596,40727.6
1.0000,3600,3600,40714.9
1.0000,3604,3604,40682.6
1.0000,3608,3608,40818.9
1.0000,3612,3612,40801.0
1.0000,3616,3616,40733.5
1.0000,3620,3620,40737.1
1.0000,3624,3624,40788.3
1.0000,3628,3628,40790.3
1.0000,3632,3632,40799.8
1.0000,3636,3636,40749.4
1.0000,3640,3640,40735.6
1.0000,3644,3644,40723.8
1.0000,3648,3648,40703.4
1.0000,3652,3652,40769.6
1.0000,3656,3656,40661.4
1.0000,3660,3660,40599.8
1.0000,3664,3664,40719.6
1.0000,3668,3668,40605.6
1.0000,3672,3672,40640.9
1.0000,3676,3676,40588.9
1.0000,3680,3680,40716.5
1.0000,3684,3684,40719.1
1.0000,3688,3688,40674.0
1.0000,3692,3692,40680.2
1.0000,3696,3696,40670.7
1.0000,3700,3700,40709.4
1.0000,3704,3704,40652.4
1.0000,3708,3708,40618.9
1.0000,3712,3712,40691.1
1.0000,3716,3716,40732.0
1.0000,3720,3720,40678.5
