an,bn,ratio,gmp_ns,simd_ns,speedup
130,33,0.2500,1168.6,244.8,4.7741
130,43,0.3333,1402.1,296.5,4.7289
130,52,0.4000,1578.3,346.8,4.5517
130,65,0.5000,1676.5,422.5,3.9685
130,85,0.6500,2066.7,578.4,3.5731
130,104,0.8000,2276.1,631.8,3.6028
130,130,1.0000,2773.6,721.3,3.8453
131,16,0.1250,613.0,147.7,4.1501
131,26,0.2000,992.8,205.3,4.8368
131,33,0.2500,1178.0,246.7,4.7748
131,44,0.3333,1495.1,312.1,4.7902
131,52,0.4000,1592.0,352.4,4.5181
131,66,0.5000,1699.5,543.6,3.1264
131,85,0.6500,2090.8,603.8,3.4625
131,105,0.8000,2308.6,672.1,3.4347
131,131,1.0000,2814.4,755.5,3.7252
132,17,0.1250,654.0,151.9,4.3055
132,26,0.2000,997.5,206.0,4.8419
132,33,0.2500,1178.3,246.5,4.7809
132,44,0.3333,1432.7,311.8,4.5951
132,53,0.4000,1596.0,362.8,4.3987
132,66,0.5000,1699.2,571.2,2.9751
132,86,0.6500,2111.3,656.1,3.2178
132,106,0.8000,2373.9,720.2,3.2960
132,132,1.0000,2805.7,782.2,3.5868
133,17,0.1250,660.9,154.7,4.2735
133,27,0.2000,1045.3,215.2,4.8586
133,33,0.2500,1187.3,248.2,4.7828
133,44,0.3333,1458.1,313.0,4.6584
133,53,0.4000,1648.8,366.0,4.5052
133,67,0.5000,1762.7,602.3,2.9269
133,86,0.6500,2146.7,661.9,3.2433
133,106,0.8000,2383.9,749.5,3.1804
133,133,1.0000,2905.5,858.2,3.3857
134,17,0.1250,665.7,155.1,4.2922
134,27,0.2000,1054.5,215.7,4.8894
134,34,0.2500,1205.8,253.4,4.7579
134,45,0.3333,1564.6,320.0,4.8889
134,54,0.4000,1664.0,370.4,4.4932
134,67,0.5000,1771.9,638.7,2.7743
134,87,0.6500,2173.2,596.6,3.6428
134,107,0.8000,2400.9,758.1,3.1668
134,134,1.0000,2923.4,879.4,3.3242
135,17,0.1250,671.3,155.9,4.3062
135,27,0.2000,1065.1,216.2,4.9264
135,34,0.2500,1211.6,255.5,4.7426
135,45,0.3333,1528.9,323.0,4.7329
135,54,0.4000,1673.8,376.1,4.4508
135,68,0.5000,1795.6,620.5,2.8937
135,88,0.6500,2220.7,573.3,3.8734
