an52,bn52,variant,total_ns,ns_per_limb
44,2,generic,8.379667,0.095223484
44,2,special,5.675373,0.064492879
45,2,generic,8.287739,0.092085985
45,2,special,5.640549,0.062672765
46,2,generic,8.403116,0.091338215
46,2,special,5.807569,0.063125755
47,2,generic,8.220320,0.087450212
47,2,special,5.613756,0.059720812
48,2,generic,8.171381,0.085118549
48,2,special,5.620431,0.058546160
49,2,generic,10.778211,0.109981747
49,2,special,6.512144,0.066450454
50,2,generic,10.533967,0.105339674
50,2,special,6.081479,0.060814786
51,2,generic,10.367299,0.101640186
51,2,special,6.170083,0.060491007
52,2,generic,10.650000,0.102403846
52,2,special,6.276337,0.060349390
53,2,generic,10.883063,0.102670403
53,2,special,6.136897,0.057895259
54,2,generic,10.776369,0.099781190
54,2,special,6.201671,0.057422877
55,2,generic,10.858024,0.098709306
55,2,special,6.282714,0.057115581
56,2,generic,10.702986,0.095562374
56,2,special,6.183574,0.055210479
57,2,generic,10.219271,0.089642730
57,2,special,7.007336,0.061467860
58,2,generic,9.870214,0.085088054
58,2,special,7.009188,0.060424033
59,2,generic,10.350445,0.087715635
59,2,special,7.058548,0.059818202
60,2,generic,10.755086,0.089625720
60,2,special,6.948067,0.057900560
61,2,generic,9.957660,0.081620161
61,2,special,7.015902,0.057507394
62,2,generic,10.097910,0.081434758
62,2,special,6.863314,0.055349305
63,2,generic,10.368128,0.082286731
63,2,special,6.858802,0.054434940
64,2,generic,10.415872,0.081373998
64,2,special,7.000917,0.054694665
65,2,generic,12.480494,0.096003798
65,2,special,7.695665,0.059197420
66,2,generic,12.255355,0.092843601
66,2,special,7.683344,0.058207152
67,2,generic,12.036328,0.089823343
67,2,special,7.674219,0.057270291
68,2,generic,13.386215,0.098428053
68,2,special,7.722209,0.056780951
69,2,generic,12.852937,0.093137228
69,2,special,7.736448,0.056061218
70,2,generic,12.312266,0.087944758
70,2,special,7.655423,0.054681596
71,2,generic,12.849725,0.090491021
71,2,special,7.630135,0.053733342
72,2,generic,12.425795,0.086290245
72,2,special,7.604600,0.052809723
73,2,generic,11.556227,0.079152239
73,2,special,8.665589,0.059353353
74,2,generic,11.669705,0.078849355
74,2,special,8.625768,0.058282214
75,2,generic,12.416778,0.082778523
75,2,special,8.660450,0.057736330
76,2,generic,11.997445,0.078930558
76,2,special,8.597894,0.056565090
77,2,generic,11.581234,0.075202817
77,2,special,8.632830,0.056057336
78,2,generic,11.972987,0.076749916
78,2,special,8.511770,0.054562627
79,2,generic,11.937369,0.075552967
79,2,special,8.717983,0.055177107
80,2,generic,11.583094,0.072394337
80,2,special,8.644597,0.054028732
81,2,generic,14.179007,0.087524734
81,2,special,9.828105,0.060667317
82,2,generic,14.306164,0.087232708
82,2,special,9.779382,0.059630381
83,2,generic,14.320416,0.086267568
83,2,special,9.953394,0.059960203
84,2,generic,14.132389,0.084121361
84,2,special,10.438241,0.062132387
85,2,generic,13.663366,0.080372741
85,2,special,9.991079,0.058771050
86,2,generic,13.784130,0.080140289
86,2,special,9.808372,0.057025418
87,2,generic,13.599285,0.078156809
87,2,special,9.772201,0.056162077
88,2,generic,13.546909,0.076971073
88,2,special,10.082732,0.057288249
89,2,generic,13.298763,0.074712153
89,2,special,11.088119,0.062292801
90,2,generic,13.637203,0.075762238
90,2,special,11.525592,0.064031068
91,2,generic,13.404093,0.073648860
91,2,special,11.591327,0.063688612
92,2,generic,12.783960,0.069478041
92,2,special,11.112558,0.060394336
93,2,generic,12.767399,0.068641932
93,2,special,11.085516,0.059599551
94,2,generic,13.356263,0.071043954
94,2,special,11.252554,0.059854008
95,2,generic,12.950199,0.068158944
95,2,special,10.922951,0.057489215
96,2,generic,13.320422,0.069377200
96,2,special,11.026102,0.057427616
97,2,generic,14.804699,0.076312879
97,2,special,12.655073,0.065232337
98,2,generic,15.110515,0.077094466
98,2,special,13.151123,0.067097565
99,2,generic,15.059264,0.076056887
99,2,special,12.547509,0.063371255
100,2,generic,15.101117,0.075505586
100,2,special,12.995803,0.064979015
