n,basecase_ns,toom22_ns,toom33_ns
369,3794.44,2451.17,2283.98
370,3819.64,2462.12,2335.94
371,3826.11,2478.07,2345.78
372,3856.76,2485.78,2320.10
373,3878.25,2482.52,2325.80
374,3900.47,2508.81,2295.20
375,3917.06,2520.68,2334.78
376,3943.64,2520.45,2312.50
377,3951.85,2489.43,2322.36
378,3980.23,2510.14,2390.28
379,3991.94,2514.35,2348.35
380,4014.12,2519.88,2348.00
381,4031.43,2499.45,2310.04
382,4068.79,2439.74,2367.86
383,4085.49,2391.52,2360.58
384,4098.81,2407.57,2410.14
385,4119.39,2451.39,2492.20
386,4143.92,2480.25,2498.86
387,4157.11,2500.81,2506.26
388,4190.54,2487.38,2506.34
389,4191.92,2590.93,2541.52
390,4235.59,2622.98,2522.16
391,4249.41,2653.40,2521.93
392,4279.26,2686.73,2548.06
393,4294.13,2686.65,2540.34
394,4317.75,2701.65,2614.45
395,4323.40,2710.07,2608.34
396,4358.18,2703.98,2609.84
397,4367.36,2729.72,2591.56
398,4406.54,2721.32,2582.50
399,4421.53,2697.81,2570.32
400,4448.51,2746.38,2646.42
401,4468.39,2767.41,2633.61
402,4486.55,2783.90,2641.69
403,4504.17,2798.02,2598.79
404,4534.53,2783.30,2610.08
405,4565.55,2801.67,2645.90
406,4583.50,2808.27,2630.49
407,4608.75,2826.02,2672.62
408,4633.42,2823.35,2769.05
409,4650.40,2809.41,2700.83
410,4676.02,2824.20,2700.08
411,4679.56,2842.16,2733.67
412,4715.15,2829.91,2769.15
413,4732.90,2852.41,2767.58
414,4765.06,2879.95,2804.74
415,4794.13,2820.84,2786.10
416,4822.65,2859.39,2777.50
417,4845.02,2897.58,2807.88
418,4861.19,2886.85,2800.30
419,4875.90,2921.97,2820.00
420,4902.12,2924.12,2827.67
421,4927.04,2963.28,2819.34
422,4955.24,2963.02,2823.29
423,4983.23,2978.83,2834.24
424,5015.29,2983.03,2834.78
425,5020.65,2997.76,2893.21
426,5038.32,3023.57,2889.73
427,5064.61,3026.59,2875.18
428,5090.06,3015.50,2811.96
429,5117.06,3046.63,2878.59
430,5144.39,3073.26,2929.32
431,5169.42,3072.54,2946.39
432,5208.40,3076.43,2917.87
433,5215.48,3078.75,3013.24
434,5248.40,3078.47,2946.71
435,5256.53,3100.23,2955.99
436,5288.23,3111.32,3032.83
437,5323.89,3131.55,3095.90
438,5336.76,3127.54,3071.17
439,5363.15,3133.65,3056.25
440,5383.77,3161.58,3056.88
441,5424.25,3167.30,3084.09
442,5445.60,3166.77,3170.57
443,5453.06,3162.35,3179.51
444,5481.98,3155.59,3188.53
445,5501.30,3168.28,3163.82
446,5534.63,3118.77,3167.05
447,5557.67,3057.01,3163.68
448,5584.93,3117.65,3215.20
449,5609.28,3086.85,3190.65
450,5646.07,3139.81,3235.70
451,5651.23,3160.85,3167.85
452,5683.55,3156.68,3174.59
453,5713.03,3282.09,3179.44
454,5741.65,3334.13,3315.66
455,5750.17,3386.17,3283.57
456,5795.64,3429.73,3223.01
457,5806.54,3439.01,3279.27
458,5830.91,3377.81,3303.44
459,5857.21,3360.36,3278.75
460,5889.03,3336.51,3323.39
461,5921.69,3365.46,3338.96
462,5973.64,3384.04,3415.74
463,5996.99,3403.62,3380.74
464,6036.51,3450.69,3339.36
465,6023.06,3451.97,3378.24
466,6058.59,3452.98,3489.68
467,6061.66,3455.65,3485.65
468,6104.76,3458.85,3420.44
469,6134.42,3464.46,3423.86
470,6161.87,3502.83,3456.41
471,6185.08,3535.65,3459.84
472,6230.80,3496.50,3405.67
473,6238.14,3518.17,3422.62
474,6258.30,3530.94,3414.51
475,6276.97,3534.78,3374.51
476,6311.53,3508.28,3456.62
477,6341.39,3555.06,3379.89
478,6360.88,3596.42,3439.27
479,6395.14,3539.66,3494.38
480,6429.34,3632.61,3505.06
481,6437.98,3620.51,3520.40
482,6466.44,3578.81,3567.78
483,6484.68,3597.44,3521.69
484,6517.24,3595.29,3618.31
485,6542.12,3624.01,3632.79
486,6577.81,3625.06,3637.21
487,6599.56,3645.87,3610.70
488,6655.15,3679.11,3628.51
489,6667.41,3727.39,3669.64
490,6700.86,3748.15,3691.02
491,6710.38,3740.24,3751.20
492,6739.43,3710.60,3779.17
493,6758.00,3768.39,3693.99
494,6823.44,3784.70,3707.81
495,6840.03,3785.85,3742.02
496,6857.77,3777.93,3793.30
497,6889.60,3853.54,3742.81
498,6906.43,3791.40,3766.89
499,6930.51,3804.09,3772.45
500,6962.52,3798.85,3750.68
