an52,bn52,total_ns,ns_per_limb
16,8,5.494281,0.042924068
24,8,7.551922,0.039332928
32,8,9.438869,0.036870580
40,8,11.401952,0.035631100
48,8,13.395668,0.034884552
56,8,15.325169,0.034207965
64,8,17.331919,0.033851404
72,8,19.288576,0.033487111
80,8,21.313842,0.033302878
88,8,23.269662,0.033053497
96,8,25.366198,0.033028904
104,8,26.946309,0.032387391
112,8,30.107388,0.033601996
120,8,31.671321,0.032990959
128,8,34.022273,0.033224876
136,8,35.997087,0.033085558
144,8,38.488608,0.033410250
152,8,40.087620,0.032966793
160,8,42.204664,0.032972394
168,8,44.193900,0.032882366
176,8,46.176468,0.032795787
184,8,48.243972,0.032774437
192,8,50.421220,0.032826315
200,8,52.624527,0.032890329
208,8,54.323839,0.032646538
216,8,56.362444,0.032617155
224,8,57.442489,0.032054960
232,8,58.765684,0.031662545
240,8,61.088745,0.031817055
248,8,63.211301,0.031860535
256,8,65.227734,0.031849480
264,8,67.288105,0.031859898
272,8,69.291644,0.031843586
280,8,71.178764,0.031776234
288,8,73.363190,0.031841662
296,8,75.100944,0.031714926
304,8,77.145705,0.031721096
312,8,79.279826,0.031762751
320,8,81.113828,0.031685089
328,8,83.249418,0.031726150
336,8,85.107592,0.031662050
344,8,86.951997,0.031595929
352,8,89.106749,0.031643022
360,8,91.098928,0.031631572
368,8,93.224237,0.031665841
376,8,94.796117,0.031514667
384,8,96.885352,0.031538201
392,8,98.894086,0.031535104
400,8,100.585611,0.031433003
