n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
178,23.331012002,34.855237813,22.708845755,34.817427386,0.131073101134,0.195815942770,0.127577785140,0.195603524640,6741
179,23.619856887,35.010880906,22.618791946,34.770389146,0.131954507750,0.195591513443,0.126361966180,0.194247984054,6703
180,24.316751573,35.162291885,23.430543054,35.016639185,0.135093064296,0.195346066030,0.130169683635,0.194536884359,6666
181,24.346345139,35.424219575,23.479053647,35.284378770,0.134510194140,0.195713920302,0.129718528435,0.194941319169,6629
182,24.317727273,35.564366945,23.626401940,35.623939394,0.133613886114,0.195408609586,0.129815395275,0.195735930736,6593
183,24.344922232,35.385072353,23.552591463,35.565462582,0.133032361926,0.193361051111,0.128702685592,0.194346790065,6557
184,24.035840098,36.028518859,23.316482843,36.051195586,0.130629565750,0.195807167713,0.126720015452,0.195930410791,6521
185,24.485133261,35.944050555,23.557437635,36.039155234,0.132352071683,0.194292165161,0.127337500728,0.194806244506,6486
186,24.677714109,36.341338705,23.640886547,36.411099054,0.132675882305,0.195383541423,0.127101540574,0.195758597067,6451
187,24.800374007,36.556887160,23.797880630,36.388914837,0.132622320891,0.195491375185,0.127261393741,0.194593127472,6417
188,25.800563998,36.646211647,24.597652582,36.765037594,0.137237042543,0.194926657696,0.130838577565,0.195558710606,6382
189,25.720743424,36.879842520,24.608811959,36.801952141,0.136088589546,0.195131441903,0.130205354281,0.194719323498,6349
190,25.684718923,37.114575091,24.563103721,37.214692844,0.135182731175,0.195339868900,0.129279493270,0.195866804440,6315
191,25.758510977,37.155240973,24.621935689,37.138880051,0.134861314015,0.194530057453,0.128910658059,0.194444398172,6282
192,25.124800000,37.530860249,24.004160000,37.606937340,0.130858333333,0.195473230466,0.125021666667,0.195869465313,6250
193,25.199903583,37.506027970,24.371722696,37.653320470,0.130569448619,0.194331751139,0.126278355937,0.195094924713,6217
194,25.515503876,37.859890110,24.481092437,37.891437803,0.131523215856,0.195154072731,0.126191198129,0.195316689706,6185
195,25.765097403,37.954855473,24.624593892,37.938119214,0.132128704629,0.194640284475,0.126279968678,0.194554457507,6153
196,26.581740977,38.075755102,25.495757180,38.041149575,0.135621127432,0.194264056643,0.130080393776,0.194087497834,6122
197,26.372684047,38.180236376,26.231779383,38.091043307,0.133871492622,0.193808306475,0.133156240522,0.193355549782,6091
198,26.353513692,38.414509481,25.261056106,38.518549052,0.133098553999,0.194012674145,0.127581091442,0.194538126525,6060
199,26.451848168,38.517401392,25.981947665,38.387636725,0.132923860143,0.193554780865,0.130562551079,0.192902697112,6030
200,26.064311896,38.750708215,25.105210588,38.766283525,0.130321559480,0.193753541076,0.125526052938,0.193831417625,6000
201,26.461178046,39.066320549,25.358051557,39.172719665,0.131647651968,0.194359803728,0.126159460481,0.194889152564,5970
202,26.702525253,39.177994616,25.459104679,39.575803466,0.132190719072,0.193950468398,0.126035171676,0.195919819140,5940
203,27.133975334,39.535859269,25.813493405,39.548158162,0.133664903122,0.194757927435,0.127160066037,0.194818513111,5911
204,27.803395586,39.674485807,26.447707980,39.623747240,0.136291154832,0.194482773562,0.129645627351,0.194234055096,5882
205,27.779863481,39.867872994,26.553809361,39.553166069,0.135511529177,0.194477429240,0.129530777371,0.192942273509,5853
206,27.916952642,40.057481126,26.531330472,40.291252144,0.135519187585,0.194453791872,0.128792866369,0.195588602641,5825
207,27.912728527,40.262795106,26.460465116,40.335631788,0.134844099165,0.194506256551,0.127828333895,0.194858124578,5797
208,27.419421845,40.589752467,26.361433270,40.518967608,0.131824143487,0.195143040705,0.126737659951,0.194802728884,5769
209,27.587928335,40.721294363,26.685594844,40.589208007,0.131999657107,0.194838729011,0.127682271981,0.194206736875,5741
210,27.611305565,40.901398601,26.735083115,40.985317252,0.131482407454,0.194768564769,0.127309919593,0.195168177392,5714
211,27.802180411,41.215855159,26.699279817,41.024762908,0.131763888206,0.195335806441,0.126536871172,0.194430155964,5687
212,28.669724771,41.268714689,27.462394068,41.520756050,0.135234550805,0.194663748534,0.129539594659,0.195852622878,5660
213,28.799751465,41.483596382,27.464501242,41.645327186,0.135210100773,0.194758668462,0.128941320387,0.195517968008,5633
214,28.845770258,41.935650624,27.578919208,41.536707056,0.134793318964,0.195960984224,0.128873454244,0.194096761945,5607
215,28.810137919,41.838617231,27.526033280,41.855710705,0.134000641482,0.194598219679,0.128028061766,0.194677724211,5581
216,28.437511239,42.247480202,27.352327881,42.156570196,0.131655144625,0.195590186118,0.126631147596,0.195169306463,5555
217,28.631464738,42.300578035,27.462470610,42.400542005,0.131942233815,0.194933539330,0.126555164099,0.195394202790,5529
218,28.841436865,42.533030853,27.591718126,42.368803341,0.132300169106,0.195105646115,0.126567514338,0.194352308905,5504
219,29.178818812,42.430943259,27.917760759,42.637474913,0.133236615578,0.193748599354,0.127478359628,0.194691666271,5479
220,30.006042849,43.034988093,28.687980945,42.761808861,0.136391103860,0.195613582241,0.130399913388,0.194371858460,5454
221,29.946583164,43.131002760,28.658994660,42.955841766,0.135504901197,0.195162908416,0.129678708870,0.194370324735,5429
222,30.035146134,43.279770710,28.598743765,43.003142910,0.135293451054,0.194953922117,0.128823170113,0.193707850946,5405
223,29.966177290,43.323736999,28.575616998,43.426128972,0.134377476639,0.194276847527,0.128141780258,0.194736004360,5381
224,29.304753029,43.650382249,28.036200784,43.669526296,0.130824790308,0.194867777896,0.125161610642,0.194953242394,5357
225,29.625492034,43.750702379,28.254218223,43.782983508,0.131668853483,0.194447566128,0.125574303212,0.194591037814,5333
226,29.650112867,43.942959337,28.398568469,44.151977401,0.131195189676,0.194437873174,0.125657382605,0.195362731863,5309
227,29.905931243,44.295218295,28.747402229,44.204798791,0.131744190497,0.195133120243,0.126640538455,0.194734796435,5286
228,30.730221969,44.252230025,29.467224017,44.499145624,0.134781675304,0.194088728178,0.129242210600,0.195171691332,5263
229,30.910823171,44.666857252,29.522675305,44.771695594,0.134981760571,0.195051778392,0.128919979497,0.195509587747,5240
230,30.808127276,44.819417848,29.554747320,44.896723510,0.133948379462,0.194867034120,0.128498901392,0.195203145697,5217
231,30.882115385,44.790993072,29.553908356,45.028098537,0.133688811189,0.193900402907,0.127938997211,0.194926833495,5194
232,30.489082126,45.166248310,29.009665571,45.368339768,0.131418457438,0.194682104787,0.125041661945,0.195553188657,5172
233,30.904401784,46.024835080,29.423666343,45.550446255,0.132636917528,0.197531481028,0.126281829800,0.195495477491,5150
234,31.087439143,45.575993765,29.616358325,45.658028059,0.132852304030,0.194769204122,0.126565633868,0.195119778031,5128
235,31.491774383,45.776125245,29.739929605,45.777973396,0.134007550566,0.194792022318,0.126552891936,0.194799886791,5106
236,32.243562021,46.088246855,30.522209119,46.755896226,0.136625262800,0.195289181590,0.129331394574,0.198118204349,5084
