n,add_ns,gmp_add_ns,sub_ns,gmp_sub_ns,add_ns_per_limb,gmp_add_ns_per_limb,sub_ns_per_limb,gmp_sub_ns_per_limb,reps
63,9.325406824,12.679073919,8.912322150,12.655118110,0.148022330542,0.201255141564,0.141465430960,0.200874890639,19047
64,8.569440742,12.783631032,8.321228603,12.896880832,0.133897511596,0.199744234871,0.130019196928,0.201513762997,18750
65,8.911129163,12.972273367,8.498618859,13.124431449,0.137094294820,0.199573436420,0.130747982451,0.201914329985,18461
66,9.027171223,13.295265849,8.630134726,13.176829604,0.136775321556,0.201443421958,0.130759617067,0.199648933387,18181
67,9.086752638,13.267455489,8.755316180,13.185218265,0.135623173698,0.198021723719,0.130676360898,0.196794302463,17910
68,9.831794233,13.503541277,9.440049864,13.396646462,0.144585209303,0.198581489370,0.138824262706,0.197009506799,17647
69,9.838861742,13.735042244,9.730570246,13.782798666,0.142592199158,0.199058583244,0.141022757189,0.199750705307,17391
70,9.844431487,13.665131195,9.584820908,13.850545221,0.140634735527,0.195216159933,0.136926012967,0.197864931733,17142
71,9.783174584,14.146811783,9.614315291,14.064285292,0.137791191329,0.199250870180,0.135412891427,0.198088525237,16901
72,9.623544942,14.500479789,9.353594144,14.398812380,0.133660346414,0.201395552624,0.129911029775,0.199983505278,16666
73,10.094094033,14.760610483,9.643087403,14.584529312,0.138275260729,0.202200143600,0.132097087718,0.199788072762,16438
74,10.340404539,14.915890732,9.895580349,14.937245716,0.139735196469,0.201566090972,0.133724058769,0.201854671834,16216
75,10.591914521,15.003935778,10.108000000,15.028055486,0.141225526952,0.200052477041,0.134773333333,0.200374073148,16000
76,11.213331645,15.296973917,10.782793112,15.285614790,0.147543837437,0.201275972598,0.141878856739,0.201126510400,15789
77,11.212508018,15.440951953,10.808338679,15.381166207,0.145616987246,0.200531843549,0.140368034788,0.199755405285,15584
78,11.195190120,15.629078383,10.749122579,15.626965562,0.143528078465,0.200372799781,0.137809263833,0.200345712334,15384
79,11.173171855,15.947216006,10.764500625,15.792286429,0.141432555132,0.201863493751,0.136259501588,0.199902359859,15189
80,11.091575580,16.058843129,10.723036928,16.155481506,0.138644694748,0.200735539118,0.134037961605,0.201943518827,15000
81,11.192198677,16.303535285,10.968612892,16.145999190,0.138175292312,0.201278213400,0.135414973979,0.199333323338,14814
82,11.317206505,16.464039342,11.016187419,16.465737515,0.138014713480,0.200780967580,0.134343749011,0.200801677006,14634
83,11.431554204,16.504011620,11.150792004,16.550708607,0.137729568717,0.198843513492,0.134346891613,0.199406127795,14457
84,12.288444040,16.914047736,11.884418946,16.888297872,0.146291000477,0.201357711139,0.141481177933,0.201051165147,14285
85,12.241110639,17.007364396,11.849210284,17.046590668,0.144013066340,0.200086639953,0.139402473930,0.200548125502,14117
86,12.258563853,17.338442805,11.860295171,17.321129182,0.142541440147,0.201609800058,0.137910408968,0.201408478866,13953
87,12.188066410,17.278031456,11.864588619,17.382391304,0.140092717362,0.198598062714,0.136374581828,0.199797601199,13793
88,11.994720246,17.592405249,11.698600015,17.576204091,0.136303639164,0.199913696010,0.132938636530,0.199729591939,13636
89,12.362167371,17.798220904,11.911564122,17.843295758,0.138900756976,0.199980010162,0.133837799119,0.200486469190,13483
90,12.459086477,17.867886331,12.023697038,18.020839580,0.138434294191,0.198532070347,0.133596633754,0.200231550891,13333
91,12.702934263,18.236925875,12.290134223,18.220065216,0.139592684213,0.200405778851,0.135056420034,0.200220496876,13186
92,13.472679899,18.408031882,13.025986968,18.450670755,0.146442172814,0.200087303068,0.141586814872,0.200550769077,13043
93,13.504803967,18.604694399,12.981871707,18.667028116,0.145212945883,0.200050477411,0.139590018360,0.200720732425,12903
94,13.468703486,18.787532305,13.024514411,18.842521535,0.143284079639,0.199867364945,0.138558663947,0.200452356754,12765
95,13.522203752,19.035776476,12.984650684,18.986703601,0.142338986864,0.200376594486,0.136680533520,0.199860037906,12631
96,12.833746501,19.230424698,12.395680000,19.238685431,0.133684859390,0.200316923938,0.129121666667,0.200402973240,12500
97,13.047603653,19.397769517,12.541077631,19.360668983,0.134511377867,0.199977005327,0.129289460118,0.199594525596,12371
98,13.187969311,19.716862553,12.692420778,19.678154349,0.134571115420,0.201192475031,0.129514497730,0.200797493354,12244
99,13.392067942,19.933267343,12.899150656,19.782927835,0.135273413555,0.201346134778,0.130294451066,0.199827553889,12121
100,14.189369324,19.850345805,13.722948771,19.937198068,0.141893693243,0.198503458045,0.137229487713,0.199371980676,12000
101,14.188777656,20.193301355,13.729782042,20.183982502,0.140482947092,0.199933676781,0.135938436055,0.199841410910,11881
102,14.132341691,20.429821580,13.740139408,20.500509771,0.138552369524,0.200292368434,0.134707249102,0.200985389908,11764
103,14.191628067,20.556738197,13.746354435,20.566071735,0.137782796763,0.199579982499,0.133459751793,0.199670599369,11650
104,13.907500433,20.797712900,13.329057977,20.837432877,0.133725965702,0.199978008650,0.128164019012,0.200359931511,11538
105,14.162571054,20.859655263,13.609463833,20.991690720,0.134881629084,0.198663383456,0.129613941264,0.199920863999,11428
106,14.350666549,21.261172938,13.836423023,21.385213320,0.135383646688,0.200577103185,0.130532292666,0.201747295475,11320
107,14.687355092,21.447079804,14.105305395,21.423172906,0.137265000858,0.200439998167,0.131825284061,0.200216569211,11214
