n,scalar_cycles_per_limb,auto_cycles_per_limb,hand_cycles_per_limb,auto_speedup,hand_speedup,hand_vs_auto
227,4.485132,1.562959,0.812225,2.869642,5.522034,1.924294
228,4.488722,1.556391,0.810150,2.884058,5.540603,1.921114
229,4.477542,1.550530,0.805677,2.887749,5.557491,1.924506
230,4.478571,1.544720,0.804037,2.899276,5.570104,1.921205
231,4.484230,1.556586,0.800557,2.880810,5.601390,1.944380
232,4.487993,1.596983,0.799877,2.810295,5.610855,1.996536
233,4.494482,1.584611,0.794605,2.836332,5.656250,1.994213
234,4.485348,1.578755,0.790293,2.841067,5.675550,1.997683
235,4.485920,1.573217,0.932103,2.851432,4.812689,1.687815
236,4.487475,1.565616,0.955259,2.866269,4.697652,1.638943
237,4.491809,1.564594,0.975428,2.870910,4.604962,1.604008
238,4.496107,1.556167,0.985232,2.889220,4.563500,1.579492
239,4.500369,1.557962,1.006953,2.888626,4.469294,1.547204
240,4.499081,1.600184,1.006434,2.811603,4.470320,1.589954
241,4.496416,1.590909,1.033572,2.826319,4.350365,1.539234
242,4.489106,1.587153,1.046206,2.828402,4.290844,1.517056
243,4.493079,1.579686,1.063412,2.844287,4.225154,1.485488
244,4.500745,1.573212,1.068368,2.860864,4.212729,1.472537
245,4.490724,1.570501,1.093692,2.859421,4.106022,1.435963
246,4.490022,1.562269,1.099409,2.874039,4.084034,1.421008
247,4.496688,1.567906,1.117961,2.867958,4.022222,1.402469
248,4.497801,1.604655,1.124450,2.802970,4.000000,1.427058
249,4.503012,1.608622,1.149285,2.799298,3.918100,1.399672
250,4.500938,1.594688,1.158750,2.822457,3.884304,1.376214
251,4.499813,1.589268,1.177478,2.831375,3.821570,1.349722
252,4.503348,1.582961,1.190476,2.844888,3.782813,1.329687
253,4.508708,1.576705,1.207078,2.859577,3.735226,1.306216
254,4.501107,1.576033,1.226316,2.855972,3.670429,1.285177
255,4.514706,1.571691,1.234375,2.872515,3.657483,1.273269
256,4.510803,1.612244,0.833130,2.797842,5.414286,1.935165
257,4.507343,1.604117,0.829359,2.809859,5.434733,1.934166
258,4.507689,1.599775,0.826144,2.817702,5.456300,1.936436
259,4.503363,1.591730,0.824823,2.829225,5.459796,1.929785
260,4.510236,1.587469,0.820720,2.841149,5.495465,1.934240
261,4.501298,1.580460,0.815721,2.848094,5.518182,1.937500
262,4.499815,1.576274,0.811684,2.854716,5.543800,1.941980
263,4.506623,1.589599,0.813198,2.835069,5.541855,1.954751
264,4.505132,1.617485,0.807368,2.785269,5.580023,2.003405
265,4.509434,1.612264,0.804717,2.796957,5.603751,2.003517
266,4.508459,1.606203,0.809211,2.806905,5.571429,1.984901
267,4.512172,1.601124,0.923221,2.818129,4.887424,1.734280
268,4.510261,1.598881,0.946828,2.820887,4.763547,1.688670
269,4.512082,1.588290,0.957249,2.840843,4.713592,1.659223
270,4.506481,1.583333,0.970370,2.846199,4.644084,1.631679
271,4.506458,1.595941,0.990775,2.823699,4.548417,1.610801
272,4.523897,1.623162,0.989890,2.787089,4.570102,1.639740
273,4.518315,1.619048,1.014652,2.790724,4.453069,1.595668
274,7.895482,2.807073,1.776365,2.812710,4.444740,1.580234
275,7.912853,1.636364,1.044828,4.835632,7.573357,1.566157
276,4.524925,1.601387,1.047601,2.825629,4.319320,1.528623
277,4.515125,1.596539,1.076497,2.828070,4.194276,1.483088
278,4.509117,1.588936,1.070764,2.837822,4.211121,1.483927
279,4.513348,1.586948,1.091027,2.844042,4.136788,1.454545
280,4.518473,1.626539,1.096367,2.777967,4.121314,1.483572
281,4.518039,1.622592,1.111793,2.784458,4.063742,1.459437
282,4.520360,1.625092,1.129861,2.781603,4.000812,1.438312
283,4.514765,1.609982,1.138629,2.804233,3.965087,1.413965
284,4.515845,1.603370,1.147824,2.816471,3.934265,1.396878
285,4.522556,1.599624,1.156955,2.827262,3.909017,1.382616
286,4.515172,1.596841,1.177260,2.827566,3.835322,1.356404
287,4.519973,1.592210,1.193691,2.838804,3.786552,1.333855
288,4.537760,1.635975,0.842634,2.773735,5.385210,1.941501
289,4.527620,1.627533,0.836938,2.781891,5.409745,1.944629
290,4.522167,1.621921,0.834975,2.788155,5.415929,1.942478
291,4.752393,1.798601,0.833027,2.642272,5.704972,2.159116
292,4.530638,1.612647,0.831091,2.809443,5.451435,1.940397
293,4.522184,1.605044,0.826697,2.817484,5.470183,1.941514
294,4.521920,1.601474,0.824830,2.823599,5.482245,1.941581
295,4.529190,1.614878,0.821092,2.804665,5.516055,1.966743
296,4.525150,1.634760,0.818318,2.768083,5.529817,1.997706
297,4.523943,1.630191,0.816498,2.775100,5.540664,1.996564
298,4.521812,1.624720,0.814691,2.783133,5.550343,1.994279
299,4.523411,1.630435,0.925307,2.774359,4.888554,1.762048
300,4.523148,1.614815,0.939815,2.801032,4.812808,1.718227
301,4.527501,1.611296,0.956072,2.809851,4.735521,1.685328
302,4.522627,1.605040,0.963944,2.817765,4.691794,1.665076
303,4.523286,1.606161,0.979098,2.816210,4.619850,1.640449
304,4.528087,1.640625,0.984944,2.759977,4.597303,1.665703
305,4.535939,1.635246,1.004414,2.773858,4.516008,1.628060
306,4.529600,1.635558,1.014329,2.769452,4.465613,1.612454
307,4.532699,1.625532,1.032636,2.788439,4.389445,1.574158
308,4.539523,1.623064,1.034903,2.796884,4.386425,1.568326
309,4.531367,1.617812,1.051158,2.800923,4.310835,1.539076
310,4.531638,1.613524,1.058933,2.808535,4.279438,1.523726
311,4.536545,1.614828,1.075006,2.809305,4.220017,1.502157
312,4.528476,1.643861,1.078033,2.754781,4.200686,1.524871
313,4.532440,1.639531,1.093942,2.764474,4.143218,1.498736
314,4.528111,1.635228,1.106075,2.769101,4.093854,1.478405
315,4.528388,1.629121,1.117216,2.779651,4.053279,1.458197
316,4.535127,1.631962,1.131646,2.778941,4.007550,1.442114
317,4.539748,1.622082,1.139432,2.798716,3.984219,1.423588
318,4.534906,1.619811,1.152830,2.799651,3.933715,1.405074
