an,bn,ratio,gmp_ns,simd_ns,speedup
115,92,0.8000,2081.4,546.2,3.8105
115,115,1.0000,2235.5,638.5,3.5011
116,15,0.1250,511.4,130.3,3.9240
116,23,0.2000,781.7,175.0,4.4674
116,29,0.2500,1016.8,209.4,4.8564
116,39,0.3333,1225.5,253.2,4.8400
116,46,0.4000,1299.6,286.1,4.5417
116,58,0.5000,1368.3,354.1,3.8636
116,75,0.6500,1656.1,442.6,3.7420
116,93,0.8000,2164.4,552.6,3.9169
116,116,1.0000,2242.8,645.3,3.4759
117,15,0.1250,515.6,128.9,4.0008
117,23,0.2000,786.8,175.4,4.4858
117,29,0.2500,1031.9,211.5,4.8792
117,39,0.3333,1182.9,255.1,4.6363
117,47,0.4000,1344.9,301.2,4.4659
117,59,0.5000,1460.6,362.1,4.0335
117,76,0.6500,1699.0,450.5,3.7715
117,94,0.8000,2185.2,551.5,3.9623
117,117,1.0000,2261.3,625.4,3.6160
118,15,0.1250,519.7,131.2,3.9600
118,24,0.2000,827.2,176.0,4.6998
118,30,0.2500,1046.0,216.9,4.8219
118,39,0.3333,1189.1,264.5,4.4956
118,47,0.4000,1350.6,303.8,4.4460
118,59,0.5000,1438.1,369.2,3.8946
118,77,0.6500,1699.1,455.2,3.7329
118,94,0.8000,2189.2,574.2,3.8126
118,118,1.0000,2313.3,654.8,3.5331
119,15,0.1250,522.7,132.9,3.9342
119,24,0.2000,834.9,176.5,4.7290
119,30,0.2500,1040.0,212.1,4.9029
119,40,0.3333,1281.2,270.2,4.7421
119,48,0.4000,1366.8,312.1,4.3787
119,60,0.5000,1458.6,373.2,3.9079
119,77,0.6500,1737.7,463.6,3.7482
119,95,0.8000,2209.6,622.1,3.5517
119,119,1.0000,2348.9,664.7,3.5335
120,15,0.1250,528.4,132.4,3.9898
120,24,0.2000,840.9,184.7,4.5527
120,30,0.2500,1039.1,221.7,4.6874
120,40,0.3333,1203.2,271.3,4.4348
120,48,0.4000,1377.9,310.1,4.4430
120,60,0.5000,1456.3,376.1,3.8717
120,78,0.6500,1761.0,471.8,3.7326
120,96,0.8000,2242.7,595.9,3.7638
120,120,1.0000,2349.4,670.1,3.5058
121,15,0.1250,533.6,131.8,4.0489
121,24,0.2000,850.4,186.0,4.5727
121,30,0.2500,1023.8,222.9,4.5938
121,40,0.3333,1221.0,272.3,4.4840
121,48,0.4000,1409.5,314.5,4.4811
121,61,0.5000,1509.5,383.5,3.9362
121,79,0.6500,1804.6,481.3,3.7495
121,97,0.8000,2056.6,638.2,3.2227
121,121,1.0000,2427.0,676.9,3.5853
122,15,0.1250,537.9,135.0,3.9847
122,24,0.2000,856.5,187.7,4.5634
122,31,0.2500,1078.0,232.1,4.6449
122,41,0.3333,1355.1,279.5,4.8486
122,49,0.4000,1423.9,325.8,4.3706
122,61,0.5000,1524.9,391.8,3.8916
122,79,0.6500,1810.4,480.6,3.7667
122,98,0.8000,2070.2,637.8,3.2457
122,122,1.0000,2442.0,691.6,3.5310
123,15,0.1250,539.6,135.7,3.9757
123,25,0.2000,898.2,191.3,4.6955
123,31,0.2500,1081.4,233.0,4.6407
123,41,0.3333,1285.5,282.2,4.5560
123,49,0.4000,1426.7,327.2,4.3605
123,62,0.5000,1534.7,397.6,3.8604
123,80,0.6500,1851.9,495.2,3.7398
123,98,0.8000,2080.8,618.6,3.3636
123,123,1.0000,2465.0,698.1,3.5308
124,16,0.1250,581.0,141.1,4.1188
124,25,0.2000,904.5,186.0,4.8615
124,31,0.2500,1095.2,227.8,4.8075
124,41,0.3333,1301.0,288.6,4.5074
124,50,0.4000,1441.4,333.4,4.3228
124,62,0.5000,1522.9,399.8,3.8087
124,81,0.6500,1875.9,502.9,3.7301
124,99,0.8000,2104.4,671.4,3.1345
124,124,1.0000,2523.7,707.0,3.5697
125,16,0.1250,585.2,142.1,4.1194
125,25,0.2000,912.0,195.7,4.6602
125,31,0.2500,1098.3,229.5,4.7855
125,42,0.3333,1450.0,290.2,4.9961
125,50,0.4000,1502.2,328.1,4.5778
125,63,0.5000,1610.2,401.3,4.0122
125,81,0.6500,1893.4,506.5,3.7379
125,100,0.8000,2182.0,636.6,3.4276
125,125,1.0000,2568.7,717.6,3.5798
126,16,0.1250,588.6,143.4,4.1046
126,25,0.2000,917.7,197.3,4.6524
126,32,0.2500,1107.9,243.5,4.5509
126,42,0.3333,1324.4,292.7,4.5252
126,50,0.4000,1505.7,339.0,4.4418
126,63,0.5000,1607.5,413.7,3.8858
126,82,0.6500,1902.4,510.6,3.7263
126,101,0.8000,2207.1,651.2,3.3895
126,126,1.0000,2574.9,732.3,3.5160
127,16,0.1250,594.4,143.6,4.1389
127,25,0.2000,924.8,197.7,4.6782
127,32,0.2500,1111.9,243.7,4.5631
127,42,0.3333,1351.7,293.9,4.5992
127,51,0.4000,1535.6,345.7,4.4425
127,64,0.5000,1643.3,418.3,3.9287
127,83,0.6500,1967.5,527.9,3.7270
127,102,0.8000,2217.1,674.3,3.2882
127,127,1.0000,2654.7,741.5,3.5802
128,16,0.1250,598.1,146.9,4.0726
128,26,0.2000,971.0,202.0,4.8066
128,32,0.2500,1117.2,245.7,4.5466
128,43,0.3333,1435.1,300.7,4.7732
128,51,0.4000,1517.0,347.1,4.3707
128,64,0.5000,1621.6,423.0,3.8338
128,83,0.6500,1988.9,531.9,3.7394
128,102,0.8000,2231.9,663.1,3.3656
128,128,1.0000,2670.2,746.9,3.5751
129,16,0.1250,602.9,148.4,4.0616
129,26,0.2000,976.5,203.5,4.7979
129,32,0.2500,1147.2,246.7,4.6500
129,43,0.3333,1405.5,306.8,4.5808
129,52,0.4000,1576.4,353.7,4.4568
129,65,0.5000,1686.8,427.6,3.9448
129,84,0.6500,2018.0,537.6,3.7541
129,103,0.8000,2268.1,666.6,3.4026
129,129,1.0000,2698.4,754.1,3.5785
130,16,0.1250,608.7,151.1,4.0297
130,26,0.2000,985.2,198.7,4.9588
130,33,0.2500,1180.7,252.7,4.6719
