n,basecase_ns,toom22_ns,toom33_ns
388,4134.12,2463.84,2464.21
389,4144.27,2555.40,2499.03
390,4170.40,2601.77,2479.39
391,4183.54,2618.78,2473.52
392,4221.76,2654.12,2510.53
393,4228.21,2644.11,2488.15
394,4259.25,2663.07,2581.30
395,4271.94,2668.68,2569.46
396,4290.61,2677.92,2576.75
397,4310.88,2710.11,2562.30
398,4344.59,2719.72,2538.36
399,4357.68,2693.37,2529.36
400,4379.38,2777.17,2618.33
401,4406.52,2767.25,2598.45
402,4435.26,2791.44,2602.33
403,4445.98,2794.47,2576.05
404,4477.96,2750.44,2589.40
405,4500.02,2772.16,2623.65
406,4526.53,2784.63,2600.94
407,4538.14,2800.69,2646.84
408,4569.32,2826.55,2740.89
409,4574.27,2784.45,2672.58
410,4612.98,2809.50,2672.16
411,4621.93,2822.91,2704.79
412,4648.87,2820.12,2724.87
413,4669.34,2823.56,2728.43
414,4701.25,2854.61,2767.07
415,4715.70,2800.29,2757.20
416,4753.21,2848.27,2744.66
417,4761.44,2840.08,2770.69
418,4772.18,2853.96,2769.26
419,4801.91,2888.90,2791.14
420,4830.81,2890.70,2797.63
421,4849.75,2915.70,2785.61
422,4880.72,2929.34,2788.03
423,4897.39,2941.33,2806.74
424,4938.24,2956.64,2792.23
425,4943.64,2957.94,2857.67
426,4971.27,2964.15,2857.45
427,4994.52,2971.27,2826.64
428,5021.70,2960.40,2779.69
429,5043.84,2985.45,2843.27
430,5073.02,3002.63,2894.00
431,5086.41,3015.83,2907.08
432,5135.12,3026.01,2885.23
433,5144.14,3022.40,2978.75
434,5173.86,3019.44,2901.16
435,5182.76,3049.67,2912.03
436,5213.37,3049.38,2978.25
437,5239.22,3074.52,3032.68
438,5258.79,3072.54,3001.98
439,5278.48,3089.13,3022.98
440,5326.47,3104.66,3020.14
441,5330.69,3139.80,3029.62
442,5361.85,3115.19,3104.04
443,5373.45,3121.32,3128.72
444,5399.73,3115.44,3130.58
445,5422.97,3096.76,3105.44
446,5458.75,3043.09,3104.07
447,5479.73,3007.60,3110.00
448,5518.73,3094.95,3171.15
449,5524.48,3047.50,3149.10
450,5568.47,3103.95,3196.75
451,5569.92,3113.50,3115.95
452,5611.56,3129.03,3131.38
453,5610.38,3203.57,3128.63
454,5654.97,3228.67,3258.57
455,5675.17,3264.33,3226.68
456,5702.67,3317.55,3171.38
457,5723.72,3310.73,3231.88
458,5748.10,3307.44,3254.43
459,5770.75,3301.72,3232.60
460,5794.29,3288.12,3280.94
461,5829.45,3308.28,3290.21
462,5856.09,3317.50,3341.01
463,5871.57,3359.84,3305.11
464,5916.09,3402.18,3294.04
465,5934.76,3401.17,3320.74
466,5965.13,3406.43,3386.64
467,5969.70,3415.33,3395.65
468,6004.54,3407.23,3323.76
469,6018.94,3411.14,3341.25
470,6061.22,3434.67,3355.55
471,6086.92,3465.11,3377.77
472,6126.08,3437.94,3329.34
473,6136.97,3477.00,3341.72
474,6182.24,3475.72,3358.28
475,6184.03,3482.50,3336.89
476,6221.24,3456.11,3404.28
477,6241.51,3466.20,3341.77
478,6276.05,3511.65,3379.27
479,6300.03,3449.43,3447.85
480,6334.91,3540.63,3450.23
481,6346.27,3535.74,3469.43
482,6371.90,3540.28,3524.49
483,6398.11,3568.78,3467.27
484,6430.03,3547.15,3585.81
485,6475.55,3575.64,3566.46
486,6490.84,3593.03,3618.95
487,6510.26,3603.26,3575.58
488,6561.10,3645.71,3588.15
489,6566.40,3697.26,3620.42
490,6581.33,3697.50,3643.99
491,6610.44,3702.86,3692.44
492,6642.46,3686.97,3717.92
493,6671.45,3754.28,3645.42
494,6702.77,3743.35,3643.24
495,6728.26,3768.84,3679.57
496,6767.34,3746.16,3740.24
497,6783.93,3782.44,3674.40
498,6808.99,3764.63,3710.24
499,6826.30,3788.23,3716.59
500,6873.87,3800.12,3712.68
